TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
AACG,ATA Creativity Global,3.03,undefined,None,25,undefined,-6.06,-1.127, 91.64 Mil ,83935376,$0.00 ,$57.56 ,4.661538462,0.65,None
AAL,"American Airlines Group, Inc.",22.04,839.7867596,-14.725,-45.7,38.10284753,-5.45,-4.454, 47.94 Bil ,47941496832,"($7,314)","$76,594 ",2.671515152,8.25,0.17870001
AAME,Atlantic American Corporation,4.19,undefined,0.558,N/A,undefined,5.34,5.819, 96.54 Mil ,105285872,$8.70 ,$260.10 ,2.651898734,1.58,0.12560001
AAOI,"Applied Optoelectronics, Inc.",8.28,-88.10655052,-2.673,13,-10.64088774,-15.86,-13.628, 328.56 Mil ,328563328,($63.60),$202.90 ,1.15,7.2,0.1907
AAON,"AAON, Inc.",68.54,46.82857143,1.49,12,0.683229814,28.5,28.482, 3.51 Bil ,3506328320,$61.00 ,$98.10 ,1.557373324,44.01,0.0801
AAPL,Apple Inc.,134.72,132.4956209,3.687,14.94,0.983488873,25.93,26.907, 2.29 Til ,2.29137E+12,"$80,219 ","$287,830 ",1.898200007,70.9725,0.0076
AAWW,Atlas Air Worldwide Holdings,67.33,382.8919861,13.5,10,5.686796169,4.21,4.914, 3.95 Bil ,3889086208,$746 ,"$3,768 ",2.205371765,30.53,0.1268
ABCB,Ameris Bancorp,51.42,133.6396516,5.283,8,2.598981944,Not Found!,None, 2.09 Bil ,1371366272,$780 ,"$17,792 ",3.003504673,17.12,0.0341
ABCL,AbCellera Biologics Inc.,31.6,undefined,None,-86.38,undefined,45.24,48.713, 7.36 Bil ,7928791552,$,$175.00 ,1.362068966,23.2,0.0377
ABCM,Abcam plc,21.07,undefined,None,N/A,undefined,106.54,87.323, 4.66 Bil ,4532071936,$37.80 ,$259.50 ,1.18972332,17.71,None
ABEO,Abeona Therapeutics Inc.,1.71,undefined,-0.909,N/A,undefined,-1.06,-1.814, 80.08 Mil ,79662408,($36.36),$48.65 ,1.727272727,0.99,0.0719
ABGI,ABG Acquisition Corp. I,9.97,undefined,None,,undefined,Not Found!,None, 192.94 Mil ,29910000,$,$0.30 ,1.035306334,9.63,0.0008
ABIO,"ARCA biopharma, Inc.",3.59,undefined,-2.067,N/A,undefined,-0.26,-0.319, 2.49 Mil ,3111413,($7.74),$3.91 ,1.365019011,2.63,0.0387
ABMD,"ABIOMED, Inc.",348.2,172.1782857,4.387,17.1,0.494481004,60.14,59.593, 14.92 Bil ,14931441664,$236.90 ,$167.00 ,2.298805044,151.47,0.0255
ABNB,"Airbnb, Inc.",174.88,undefined,None,100.3,undefined,-24.84,-30.751, 104.20 Bil ,1.02566E+11,($223),"$7,590 ",1.439341564,121.5,0.1575
ABST,Absolute Software Corporation,14.95,undefined,None,,undefined,29.16,33.815, 610.98 Mil ,615839040,$40.80 ,$188.80 ,2.278963415,6.56,None
ABTX,"Allegiance Bancshares, Inc.",40.61,undefined,2.22,N/A,undefined,Not Found!,None, 661.46 Mil ,673153600,$53.90 ,"$5,291.50 ",1.944923372,20.88,0.0174
ABUS,Arbutus Biopharma Corporation,3.28,undefined,-1,N/A,undefined,-6.35,-6.508, 366.47 Mil ,359843360,($51.44),$35.11 ,3.313131313,0.99,0.0546
ACAC,Acies Acquisition Corp.,10.02,undefined,None,,undefined,Not Found!,None, 269.06 Mil ,269715296,$,$0.09 ,1.030864198,9.72,0.0054
ACACU,Acies Acquisition Corp.,10.31,undefined,None,,undefined,Not Found!,None, - ,279401536,$,$0.09 ,1.043522267,9.88,None
ACAD,ACADIA Pharmaceuticals Inc.,21.35,-91.93240418,-1.79,25,-4.305967409,-9.82,-12.071, 2.79 Bil ,2786588160,($143.80),$155.60 ,1.025032887,20.8286,0.0866
ACAHU,Atlantic Coastal Acquisition Co,9.9,undefined,None,,undefined,Not Found!,None, - ,74550000,$,$0.00 ,1.010204082,9.8,None
ACBI,"Atlantic Capital Bancshares, In",26.85,64.80034843,1.595,18,2.413420798,Not Found!,None,"-44,486,000.00",-36829316,$80.96 ,"$3,277.03 ",2.924836601,9.18,0.0129
ACCD,"Accolade, Inc.",49.71,undefined,None,25.4,undefined,-70.08,-58.078, 2.41 Bil ,2256394240,($48.60),$79.20 ,90.38181818,0.55,0.0876
ACER,Acer Therapeutics Inc.,2.99,undefined,-2.058,N/A,undefined,-1.59,-1.679, 36.10 Mil ,37962204,($17.03),$6.39 ,2.214814815,1.35,0.0437
ACET,"Adicet Bio, Inc.",15.69,-288.8570871,-5.011,29.1,-18.41026686,-9.05,-13.692, 407.85 Mil ,407543840,($7.72),$44.01 ,2.219236209,7.07,0.0332
ACEV,ACE Convergence Acquisition Cor,10,undefined,None,,undefined,-256.53,None, 285.73 Mil ,279207584,$,$8.91 ,1.041666667,9.6,0.0129
ACEVU,ACE Convergence Acquisition Cor,10.83,undefined,None,,undefined,-256.53,None, - ,304967584,$,$8.91 ,1.093939394,9.9,None
ACGL,Arch Capital Group Ltd.,40.15,281.4712195,3.32,46.8,7.010491146,11.2,9.191, 20.04 Bil ,17344579584,"$2,847 ","$29,353 ",1.918299092,20.93,0.012300001
ACGLO,Arch Capital Group Ltd. - Depos,26.45,undefined,3.32,,undefined,,6.277,,11845562368,Not Found!,Not Found!,1.232525629,21.46,None
ACHC,"Acadia Healthcare Company, Inc.",61.68,-260.5353449,-7.59,13.89,-4.223984192,19.25,19.71, 8.37 Bil ,8436904960,$442 ,"$4,600 ",3.428571429,17.99,0.0614
ACGLP,Arch Capital Group Ltd. - Depos,25.63,undefined,3.32,,undefined,,6.103,,11516432384,Not Found!,Not Found!,1.17531068,21.807,None
ACIU,AC Immune SA,7.1,undefined,-0.942,N/A,undefined,-4.14,-4.303, 267.32 Mil ,257012176,($66.44),$26.18 ,1.606334842,4.42,0.040999997
ACHV,"Achieve Life Sciences, Inc.",11.5,undefined,-5.418,N/A,undefined,-2.33,-2.417, 33.81 Mil ,35038044,($13.49),$3.01 ,1.85483871,6.2,0.0764
ACIW,"ACI Worldwide, Inc.",40.63,19.48571429,0.62,12,0.479589325,18.24,23.163, 5.82 Bil ,5817632256,$290 ,"$2,180 ",1.859496568,21.85,0.028499998
ACLS,"Axcelis Technologies, Inc.",44.42,63.79233449,1.46,20,1.436117391,18.75,21.223, 1.33 Bil ,1332391936,$62.30 ,$143.00 ,2.428649535,18.29,0.0252
ACMR,"ACM Research, Inc.",84.92,38.88710801,0.89,20,0.457926378,77.24,71.348, 1.64 Bil ,1608687488,($69.00),$133.10 ,2.686491617,31.61,0.0656
ACNB,ACNB Corporation,27.58,undefined,2.129,N/A,undefined,Not Found!,None,"-102,806,000.00",-65803100,$24.42 ,"$2,297.39 ",1.451578947,19,0.008
ACOR,"Acorda Therapeutics, Inc.",4.69,-708.2926829,-12.32,29,-151.021894,-6.77,-5.107, 242.46 Mil ,233156352,($65.40),$394.70 ,1.861111111,2.52,0.1359
ACQRU,Independence Holdings Corp.,10.02,undefined,None,,undefined,Not Found!,None, - ,100250000,$,$0.00 ,1.010080645,9.92,None
ACRS,"Aclaris Therapeutics, Inc.",26.06,-152.3857979,-1.199,74.4,-5.847498001,-26.34,-26.177, 1.24 Bil ,1235439872,($39.09),$33.13 ,25.54901961,1.02,0.0344
ACST,"Acasti Pharma, Inc.",0.5299,undefined,0.027,N/A,undefined,14.54,-5.55, 76.76 Mil ,67301776,($15.69),$4.59 ,3.117058824,0.17,0.0149
ACRX,"AcelRx Pharmaceuticals, Inc.",1.34,undefined,-0.474,N/A,undefined,-3.99,-3.299, 137.55 Mil ,129018832,($40.36),$122.05 ,1.326732673,1.01,0.100600004
ACTC,ArcLight Clean Transition Corp.,17.87,undefined,None,,undefined,Not Found!,None, 619.86 Mil ,601037696,$,$0.05 ,1.834702259,9.74,0.19870001
ACTCU,ArcLight Clean Transition Corp.,20.002,undefined,None,,undefined,Not Found!,None, - ,653242368,$,$0.05 ,2.026545086,9.87,None
ACTDU,ArcLight Clean Transition Corp.,10.16,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04 ,1.044193217,9.73,None
ACTG,Acacia Research Corporation,6.11,67.28780488,1.54,20,11.01273402,-0.09,-0.696,"-12,050,000.00",10242718,($33.60),$212.07 ,2.739910314,2.23,0.037100002
ACVA,ACV Auctions Inc.,33.46,undefined,None,0.8,undefined,Not Found!,-41.588, 5.00 Bil ,1559671040,$,$410.66 ,1.263118158,26.49,0.063
ADAG,Adagene Inc.,15.05,undefined,None,N/A,undefined,-33.32,-6.791, 542.10 Mil ,287180352,$,$162.90 ,1.001663894,15.025,None
ADAP,Adaptimmune Therapeutics plc,5.63,-13.29735192,-0.913,1,-2.36187423,-4.24,-4.216, 532.40 Mil ,530472000,($56.50),$109.92 ,2.032490975,2.77,None
ADER,26 Capital Acquisition Corp.,9.79,undefined,None,,undefined,Not Found!,None, 333.44 Mil ,48700000,$,$0.28 ,1.022988506,9.57,None
ADBE,Adobe Inc.,515.7,457.8391638,11.486,17.5,0.887801365,44.36,46.187, 247.02 Bil ,2.46316E+11,"$5,790 ","$11,439 ",1.683643487,306.3,0.0109
ADERU,26 Capital Acquisition Corp.,10.12,undefined,None,,undefined,Not Found!,None, - ,50500000,$,$0.28 ,1.026369168,9.86,None
ADES,"Advanced Emissions Solutions, I",4.94,-100.8972125,-1.125,50,-20.42453695,-68.87,-17.177, 91.87 Mil ,87033832,$47.78 ,$61.46 ,1.403409091,3.52,0.074499995
ADI,"Analog Devices, Inc.",160.64,117.2452516,3.771,11.78,0.729863369,25.01,24.542, 62.96 Bil ,63140802560,"$1,909 ","$9,352 ",1.67770235,95.75,0.1004
ADIL,"Adial Pharmaceuticals, Inc",2.2,undefined,-0.874,N/A,undefined,-3.01,-3.058, 32.73 Mil ,33419916,($7.63),$1.51 ,1.929824561,1.14,0.055
ADMA,ADMA Biologics Inc,1.86,undefined,-0.879,N/A,undefined,-4.61,-5.09, 275.54 Mil ,272170720,($114.73),$119.42 ,1.184713376,1.57,0.1018
ADMP,Adamis Pharmaceuticals Corporat,0.8092,undefined,-0.637,N/A,undefined,-2.5,-3.39, 114.16 Mil ,114154120,($21.85),$27.37 ,2.52875,0.32,0.028399998
ADMS,"Adamas Pharmaceuticals, Inc.",5.85,332.9877073,-2.028,-115.6,56.92097561,-7.32,-6.188, 323.68 Mil ,237094784,($50.71),$170.01 ,2.407407407,2.43,0.0592
ADOC,Edoc Acquisition Corp.,10.04,undefined,None,,undefined,Not Found!,None, 118.39 Mil ,25262592,$,$0.07 ,1.01928934,9.85,None
