TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACI,Armada Acquisition Corp. I,9.84,undefined,-0.085,,undefined,None,,203154688,None,419700,-203154684,0.02,0,1.0535331905781584,1.0524625267665952,9.83,9.34,0.0091,undefined,20709500,USD,United States,none,None
AACIU,,10.02,,-0.085,,,None,N/A ,,None,419700,,,0,,,10.02,9.76,,,,,,,
AADR,,61.505,,None,,,None,Not Found!,,,,,,,,,60.98,57.76,,,,,,,
AADI,"Aadi Bioscience, Inc.",18.1,undefined,-8.896,N/A,undefined,2.435312,,206972912,None,161375008,-206359392,7.723,613000,18.9727463312369,17.536687631027256,16.73,0.954,None,undefined,20894000,USD,United States,buy,-16.326
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AAME,Atlantic American Corporation,2.7,undefined,0.614,N/A,undefined,0.400466,,80268080,31535250,14327000,-41714152,0.703,38295000,1.2735849056603774,1.2344811320754718,2.6171,2.12,0.0093,1.5474689134680497,20378600,USD,United States,none,4.162
AACG,ATA Creativity Global,1.55,-13.85736526946108,-0.314,25.00,-8.940235657716826,0.22801836,-0.83 ,17198448,None,75232600,31618708,2.412,45096760,1.55,1.36,1.36,1,None,undefined,31376900,USD,China,strong_buy,-0.325
AAL,"American Airlines Group, Inc.",18.22,393.86191616766473,-3.095,-105.10,21.617009668916836,None,0.29 ,45295890432,-433249984,12430999552,856099840,19.192,46151999488,1.2219986586183769,1.1904761904761905,17.75,14.91,0.1728,-0.6688764172615665,647728000,USD,United States,hold,-14.248
AAPL,Apple Inc.,168.88,185.02428143712578,6.015,14.85,1.0955961714656903,38.005455,7.40 ,2789127487488,80153247744,63913000960,-2666322788352,3.916,122797998080,1.4532312193442904,1.430083469580931,166.19,116.21,0.0056,4.911531554979841,16319399936,USD,United States,buy,21.753
AAOI,"Applied Optoelectronics, Inc.",4.22,-57.80796407185629,-2.041,13.00,-13.698569685274004,0.44986618,0.36 ,229775712,-15275375,43534000,-75756512,1.595,154019008,1.162534435261708,1.1542699724517909,4.19,3.63,0.1555,-0.559586740226247,27297600,USD,United States,hold,-7.477
AAON,"AAON, Inc.",58.14,35.91796407185629,1.33,12.00,0.6177840397636101,7.6244106,18.85 ,2950546944,30429124,101813000,-2950545144,1.942,0,1.0048392671966817,1.0,57.86,57.86,0.0277,0.5803983367666132,52428000,USD,United States,hold,26.149
AATC,Autoscope Technologies Corporat,7.32,20.16161676646707,0.537,20.00,2.754319230391676,1.8738599,33.64 ,30235248,1562000,8502000,-30124264,1.583,111000,1.8029556650246308,1.7586206896551726,7.14,4.06,0.0058,0.29075503237023054,5372220,USD,United States,none,14.713
AAXJ,,82.01,,None,,,None,Not Found!,,,,,,,,,81.11,77.87,,,,,,,
AAWW,Atlas Air Worldwide Holdings,77.1,393.71766467065873,16.155,10.00,5.106584496376897,0.8160528,1.76 ,3897882112,247249120,910964992,-1381591040,31.181,2516291072,1.444902548725637,1.4377811094452773,76.72,53.36,0.19209999,8.517519799643797,29028300,USD,United States,buy,3.822
ABCB,Ameris Bancorp,49.62,117.37724550898207,5.4,8.00,2.3655228840987923,1.1710111,,324116192,None,4021650944,534976256,57.991,872051968,1.1046304541406944,1.0910507569011576,49.01,44.92,0.040900003,undefined,69608200,USD,United States,buy,None
ABCL,AbCellera Biologics Inc.,9.3,15.695089820359284,0.644,10.00,1.6876440667052992,2.701268,10.62 ,1857564416,167605184,753478976,-1825802944,2.676,31759000,1.253369272237197,1.2169811320754715,9.03,7.42,0.118,0.5952290415966714,281580992,USD,Canada,buy,6.222
ABCM,Abcam plc,17.2,undefined,0.098,N/A,undefined,5.873129,31.00 ,3618375936,15400000,219900000,-3552207008,0.972,110500000,1.0865445356917245,1.0360075805432722,16.4,15.83,None,0.06728122679016121,228890000,USD,United States,buy,59.318
ABGI,ABG Acquisition Corp. I,9.71,undefined,-0.099,,undefined,None,N/A ,187101408,None,617654,-187295226,0.032,0,1.0104058272632677,1.0104058272632677,9.71,9.61,0.0002,undefined,15566300,USD,United States,none,None
ABIO,"ARCA biopharma, Inc.",1.83,undefined,-1.485,N/A,undefined,0.4837067,N/A ,-30426728,-10266125,58313000,30933810,4.047,507000,1.0701754385964912,1.064327485380117,1.82,1.71,0.0223,-0.712425659780293,14410100,USD,United States,none,1.621
ABOS,"Acumen Pharmaceuticals, Inc.",5.75,-498.0525988023953,-9.312,32.10,-86.61784326998179,1.024974,95.40 ,39215608,None,199964000,-39215472,4.941,0,1.25,1.2076086956521739,5.555,4.6,0.0348,undefined,40470300,USD,United States,strong_buy,None
ABMD,"ABIOMED, Inc.",307.11,54.95397125748502,2.909,5.84,0.17893904873656025,9.477797,53.34 ,12923067392,191921504,669220992,-12911902592,14.703,11165000,1.175450683201286,1.1258850997052858,294.16,261.27,0.028900001,4.216553754487413,45516200,USD,United States,buy,46.016
ABNB,"Airbnb, Inc.",183.6,-81.98438323353294,-0.572,100.30,-0.44653803504102907,23.05259,7.81 ,104192425984,786232384,8322476032,-102807058432,13.221,2418499072,1.4154652686762776,1.3388327808187495,173.66,129.71,0.0435,2.266949184600835,346824000,USD,United States,buy,153.115
ABEO,Abeona Therapeutics Inc.,0.2431,undefined,-0.567,N/A,undefined,0.3016603,-7.55 ,-36759988,-27067876,66998000,32366828,0.657,6165000,1.1576190476190478,1.1004761904761906,0.2311,0.21,0.0382,-0.18461495859989907,146618000,USD,United States,buy,0.676
ABSI,Absci Corporation,8.66,-64.35171257485031,-2.684,9.70,-7.430913692245994,1.9739981,7.12 ,508647424,None,279262016,-486932672,3.016,21715000,1.5381882770870339,1.3836589698046182,7.79,5.63,0.0747,undefined,92591504,USD,United States,hold,-10.494
ABTX,"Allegiance Bancshares, Inc.",42.19,undefined,3.729,N/A,undefined,1.0947113,,308667040,None,757508992,-118126976,37.248,198803008,1.2300291545189506,1.22332361516035,41.96,34.3,0.0221,undefined,20247500,USD,United States,hold,None
ABST,Absolute Software Corporation,9.64,undefined,-0.137,N/A,undefined,26.175638,0.18 ,677423616,47355712,55869000,-412263576,1.123,280480000,1.3351800554016622,1.2770083102493077,9.22,7.22,None,0.9505247227050658,49820600,USD,Canada,buy,155.837
ABVC,"ABVC Biopharma, Inc.",2.49,undefined,-0.418,N/A,undefined,8.135049,3.37 ,98972688,-6283795,3826929,-68554855,0.135,3501351,1.276923076923077,1.2820512820512822,2.5,1.95,0.0081,-0.2196409222143771,28609400,USD,United States,none,-9.805
ACABU,,,,,,,,,,,,,,,,,,,,,,,,,
ACAH,Atlantic Coastal Acquisition Co,9.725,undefined,None,,undefined,None,,426293664,None,212592,-418962416,0.005,0,1.0119667013527576,1.0114464099895943,9.72,9.61,None,undefined,34500000,USD,United States,none,None
ABUS,Arbutus Biopharma Corporation,3.02,undefined,-0.917,N/A,undefined,None,-2.38 ,464351040,-36304124,121403000,-288462056,0.897,2741000,1.2689075630252102,1.2521428571428572,2.9801,2.38,0.0311,-0.2683846716326532,135268992,USD,United States,buy,-7.099
ACAHU,,9.85,,None,,,None,N/A ,,None,212592,,,0,,,9.85,9.8,,,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,26.63,-52.95808383233533,-1.2,25.00,-1.9886625547253225,7.3299317,13.14 ,3084673280,-37918000,540291008,-3616859200,3.361,65827000,1.6983418367346939,1.642857142857143,25.76,15.68,0.066700004,-0.2358730000746473,160756000,USD,United States,hold,-22.599
ACAXU,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACAHW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACBA,Ace Global Business Acquisition,10.17,undefined,-0.095,,undefined,None,,61275776,None,316825,-61070739,0.052,144499,1.0484536082474227,1.045360824742268,10.14,9.7,None,undefined,6054000,USD,Hong Kong,none,None
ACBAU,,10.18,,-0.095,,,None,N/A ,,None,316825,,,144499,,,10.1101,9.76,,,,,,,
ACBAW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACBI,"Atlantic Capital Bancshares, In",31.46,82.28329341317367,2.357,18.00,2.615489301118044,1.7614238,,-290385952,None,991164032,350144640,48.814,94276000,1.6445373758494513,1.638787245164663,31.35,19.13,0.0094,undefined,20304700,USD,United States,buy,None
ACB,Aurora Cannabis Inc.,4.38,undefined,-2.509,N/A,undefined,0.40407008,-1.31 ,1175278720,-161696752,375272992,-443598624,1.893,406776000,1.1805929919137466,1.105121293800539,4.1,3.71,None,-0.8157109590976048,198228000,USD,Canada,hold,-5.711
ACCD,"Accolade, Inc.",19.3,-26.561772455089823,-2.653,-0.90,-1.3762576401600943,1.6262662,1.18 ,1305672192,96218248,365982016,-832640320,5.466,280259008,1.239085772984078,1.1280174627632256,17.57,15.576,0.0747,1.443327123103555,66664200,USD,United States,strong_buy,-13.605
ACET,"Adicet Bio, Inc.",14.66,-99.70979640718564,-2.013,29.10,-6.801486794487424,2.0035305,7.34 ,371232096,-36551624,192226000,-340904368,6.015,20535000,2.3456,2.1744,13.59,6.25,0.051599998,-0.9337924339348852,39143200,USD,United States,strong_buy,-8.15
ACEVU,,10.22,,-0.114,,,None,N/A ,,None,15842,,,309210,,,10.17,9.9,,,,,,,
ACEV,ACE Convergence Acquisition Cor,10.01,undefined,-0.114,,undefined,None,N/A ,287793376,None,15842,-287771678,0.001,309210,1.0214285714285714,1.0204081632653061,10,9.8,0.0176,undefined,23000000,USD,United States,none,None
ACEVW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group Ltd.,46.97,377.42218562874257,4.961,49.25,8.035388239913617,1.4463825,,17673977856,968958400,4323366912,-13863544832,11.244,2724148992,1.348937392303274,1.3437679494543366,46.79,34.82,0.0069999998,2.509383685067518,386134016,USD,Bermuda,none,7.413
ACER,Acer Therapeutics Inc.,2.51,undefined,-1.244,N/A,undefined,16.953642,-5.94 ,16792424,8058358,14151496,-22482616,0.989,176895,1.494047619047619,1.4682738095238095,2.4667,1.68,0.021,0.5631198725384691,14310200,USD,United States,buy,-0.959
ACGLN,,22.17,,4.961,,,0.6805061,Not Found!,,968958400,4323366912,,,2724148992,,,22.095,21.429,,,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,24.54,undefined,4.961,,undefined,0.7489866,Not Found!,9061095424,968958400,4323366912,-9898174464,11.244,2724148992,1.006150061500615,1.0,24.39,24.39,None,2.404727218666305,402939008,USD,Bermuda,none,3.801
ACHL,Achilles Therapeutics plc,3.49,-44.45159281437126,-2.884,3.20,-12.736846078616406,0.4684589,N/A ,-95625136,None,281875008,138950688,6.942,13279000,1.054380664652568,1.0362537764350455,3.43,3.31,None,undefined,40603500,USD,United Kingdom,buy,1.715
ACHC,"Acadia Healthcare Company, Inc.",53.81,-149.5858383233533,-7.495,6.65,-2.7798892087595855,1.9352126,2.06 ,6860157952,47268500,196312992,-4563978336,2.183,1567682048,1.0746954264030357,1.054723387257839,52.81,50.07,0.0403,0.5255816384168227,89935600,USD,United States,buy,13.818
ACKIT,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACKIU,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACIU,AC Immune SA,4.47,undefined,-1.07,N/A,undefined,1.7446115,5.80 ,180611472,-45727000,188584000,-123096096,2.587,2569000,1.1064356435643563,1.061881188118812,4.29,4.04,0.016,-0.6293915777725217,72652704,USD,Switzerland,strong_buy,-2.47
ACKIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACHV,"Achieve Life Sciences, Inc.",7.75,-139.40425149700602,-4.503,15.00,-17.98764535445239,2.089349,N/A ,37113352,-15321500,33312000,-39196656,3.524,91000,1.183206106870229,1.1496183206106871,7.53,6.55,0.044899996,-1.6207156261040838,9453540,USD,Canada,buy,-1.219
ACIW,"ACI Worldwide, Inc.",33.85,19.336287425149703,0.716,12.00,0.5712344881875835,3.2500985,2.27 ,5168485888,295395616,141482000,-3745250032,1.203,1145763968,1.1923212398731948,1.1623811201127157,33,28.39,0.0201,2.512593913206199,117566000,USD,United States,buy,22.309
ACLX,,,,,,,,,,,,,,,,,,,,,,,,,
ACLS,"Axcelis Technologies, Inc.",68.79,84.47604790419163,2.25,20.00,1.2280280259367877,4.4101324,8.42 ,2282319616,62048876,271084992,-1979127104,8.138,55687000,2.0620503597122304,2.0006085131894484,66.7403,33.36,0.035,1.862669564538692,33311800,USD,United States,buy,22.777
ACNB,ACNB Corporation,32.4,undefined,3.488,N/A,undefined,1.0428437,,-337602496,None,722782016,441931264,83.125,89721000,1.2244897959183672,1.2139077853363567,32.12,26.46,0.004,undefined,8695070,USD,United States,none,None
ACMR,"ACM Research, Inc.",82.51,53.726766467065886,1.431,20.00,0.6511546051032103,8.892898,5.35 ,1619110272,-56726624,95255000,-1443520168,4.883,45231000,1.356180144641683,1.286653517422748,78.28,60.84,0.0842,-3.184759851559912,17811900,USD,United States,buy,60.221
ACQRW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACQR,Independence Holdings Corp.,9.73,undefined,None,,undefined,None,,602769664,None,1435699,-600282509,0.023,0,1.0103842159916925,1.0072689511941846,9.7,9.63,None,undefined,49399500,USD,United States,none,None
ACQRU,,9.81,,None,,,None,N/A ,,None,1435699,,,0,,,9.76,9.76,,,,,,,
