TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AACI,Armada Acquisition Corp. I,9.8,undefined,None,,undefined,1960.0001,, 214.02 Mil ,214096704,$,None,13746,-213964366,0.001,$0.20,132352,1.008230452674897,1.008230452674897,9.8,9.72,None,  -107010.28,None
AACG,ATA Creativity Global,1.77,-17.43019011406844,-0.311,25.00,-9.84756503619686,0.2887139,-0.70 , 50.85 Mil ,29073102,$0.00,None,75232600,20009256,2.412,$51.10,45096760,1.5663716814159294,1.5486725663716816,1.75,1.13,None,  -3.56,-0.549
AACIW,,0.51,,Unexpected error:<class 'TypeError'>,,,103.40001,, - ,,$,None,13746,,,$0.20,132352,,,0.52,0.52,,  -107011.5,
AACIU,,10.05,,Unexpected error:<class 'TypeError'>,,,2008,, - ,,$,None,13746,,,$0.20,132352,,,10.03,9.76,,Not Found!,
AADR,,64,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,63.6,56.46,,Not Found!,
AADI,"Aadi Bioscience, Inc.",24.77,undefined,-8.896,N/A,undefined,3.5312023,, 356.78 Mil ,356783104,$,None,161375008,-371839872,7.723,$17.85,613000,25.964360587002098,25.22012578616352,24.06,0.954,None,  -4.28,-28.143
AAL,"American Airlines Group, Inc.",19.28,837.7974752851712,-5.184,-105.10,43.45422589653378,None,0.19 , 44.60 Bil ,44602363904,"$-1,107",-1145750016,14535999488,1825300480,22.45,"$75,874",46655000576,1.392057761732852,1.3754512635379061,19.05,13.85,0.1656,  -18.25,-9.38
AAME,Atlantic American Corporation,4.11,undefined,0.614,N/A,undefined,0.58977723,, 103.22 Mil ,107982944,$0.2,31535250,14327000,-68206336,0.703,$264.1,38295000,2.0346534653465347,2.001881188118812,4.0438,2.02,0.0368,  5.27,5.598
AAOI,"Applied Optoelectronics, Inc.",6.16,-73.41391634980988,-2.041,13.00,-11.917843563280824,0.61766523,0.50 , 278.64 Mil ,278638496,$-37.8,-15275375,43534000,-120251600,1.595,$198.6,154019008,1.10990990990991,1.0756756756756756,5.97,5.55,0.19690001,  -12.39,-9.067
AAON,"AAON, Inc.",77.42,45.61444866920153,1.33,12.00,0.5891817187961964,10.205605,24.19 , 3.96 Bil ,3957165056,$45.0,30429124,101813000,-3983901176,1.942,$116.1,0,1.3073286052009456,1.3026004728132388,77.14,59.22,0.0369,  35.35,35.07
