TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,,,
AACG,ATA Creativity Global,0.935,-5.75041975308642,-0.158,25.00,-6.150181554103122,0.17558527,-0.76 ,9560348,None,71339360,38160832,2.272,40717268,1.0625,1.0568181818181819,0.93,0.88,None,undefined,31598600,USD,China,strong_buy,-0.262,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,9.98,,-0.085,,,None,N/A ,,None,419700,,,0,,,9.98,9.76,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",12.65,undefined,-12.41,N/A,undefined,2.1476717,6.02 ,157189840,-15228750,148988992,-144617856,7.119,605000,1.1500000000000001,1.17,12.87,11,0.0358,-0.7271869926463566,20942000,USD,United States,buy,-4.253,undefined,undefined,Healthcare,Biotechnology
AACI,Armada Acquisition Corp. I,9.85,undefined,-0.085,,undefined,None,N/A ,203775968,None,419700,-203775964,0.02,0,1.0546038543897216,1.0546038543897216,9.85,9.34,0.0004,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AAL,"American Airlines Group, Inc.",15.49,544.0512000000001,-5.184,-105.10,35.122737249838615,None,0.26 ,44944011264,-124625000,12430999552,1695217664,19.149,46177001472,1.2451768488745982,1.2717041800643087,15.82,12.44,0.1489,-0.19246688578080193,647513984,USD,United States,hold,-15.814,20.19904324253631,1.3040053739532802,Industrials,Airlines
AADR,,51.3971,,None,,,None,Not Found!,,,,,,,,,52.04,50.79,,,,,,,,,,,
AAME,Atlantic American Corporation,2.78,undefined,0.614,N/A,undefined,0.42813456,,81287016,31535250,14327000,-45586084,0.703,38295000,1.311320754716981,1.3089622641509433,2.775,2.12,0.0242,1.5474689134680497,20378600,USD,United States,none,4.214,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",2.175,-47.019703703703705,-2.013,13.00,-21.6182545764155,0.25008047,0.01 ,185940080,-2977250,34656000,-28947404,1.26,149900000,1.082089552238806,1.119402985074627,2.25,2.01,0.1461,-0.10773826540397552,27634100,USD,United States,hold,-5.923,-2.5165530635101443,-1.157035891269032,Technology,Semiconductors
AAON,"AAON, Inc.",53.01,29.621234567901237,1.33,12.00,0.5587857869817249,6.989261,9.41 ,2968372480,30429124,101813000,-2696269304,1.942,0,1.1159999999999999,1.1092631578947367,52.69,47.5,0.0347,0.5803983367666132,52428000,USD,United States,hold,26.307,12.926402463295931,0.24384837697219264,Industrials,Building Products & Equipment
AAPL,Apple Inc.,142.56,147.37262222222225,5.61,15.68,1.033758573388203,38.299923,7.31 ,3022112423936,73295003648,62639001600,-2350906388480,3.818,136521998336,1.1603451082532965,1.1648217483314343,143.11,122.86,0.0069,4.467464138872635,16406400000,USD,United States,buy,25.135,117.3586283118364,0.8232227014017705,Technology,Consumer Electronics
AAWW,Atlas Air Worldwide Holdings,68.56,340.05101234567906,16.919,10.00,4.959903914026824,0.77499056,1.82 ,4627590656,196027008,773910976,-1260101952,26.661,2621171968,1.1034926766457427,1.1076774505070013,68.82,62.13,0.1934,6.7529620404915205,29028300,USD,United States,buy,4.899,135.72620002370613,1.9796703620727265,Industrials,Airports & Air Services
AATC,Autoscope Technologies Corporat,5.5238,16.627111111111116,0.537,20.00,3.01008564957296,1.479802,8.48 ,29160804,1562000,8502000,-22001466,1.583,111000,1.0916600790513835,1.0869565217391306,5.5,5.06,0.0063,0.29075503237023054,5372220,USD,United States,none,14.19,9.002637298574545,1.6297905967946966,Technology,Scientific & Technical Instruments
AAXJ,,66.21,,None,,,None,Not Found!,,,,,,,,,66.98,65.43,,,,,,,,,,,
ABCB,Ameris Bancorp,42.5,100.02666666666669,5.58,8.00,2.3535686274509806,1.0231512,,432954752,None,3777502976,798509312,54.449,555707008,1.0713385429795814,1.067305268464835,42.34,39.67,0.0414,undefined,69635200,USD,United States,buy,None,undefined,undefined,Financial Services,Banks—Regional
ABCM,Abcam plc,12.99,undefined,0.097,N/A,undefined,4.7933,4.99 ,4753900032,15400000,219900000,-2903243680,0.972,110500000,1.035885167464115,1.035885167464115,12.99,12.54,None,0.06728299051047693,228884000,USD,United Kingdom,buy,77.933,undefined,undefined,Healthcare,Biotechnology
ABCL,AbCellera Biologics Inc.,6.71,9.647407407407407,0.48,10.00,1.4377656344869458,1.996686,6.07 ,1494783360,140531504,722977024,-1312853504,2.546,40065000,1.2380073800738007,1.2564575645756457,6.81,5.42,0.0773,0.49391442644035755,284526016,USD,Canada,buy,6.829,9.927070200554347,1.4794441431526597,Healthcare,Biotechnology
ABGI,ABG Acquisition Corp. I,9.79,undefined,-0.099,,undefined,None,N/A ,187681376,None,617654,-188841834,0.032,0,1.0187304890738813,1.0192507804370448,9.795,9.61,0.0002,undefined,15566300,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ABIO,"ARCA biopharma, Inc.",2.295,undefined,-1.39,N/A,undefined,0.6521739,N/A ,-18923962,-11605375,53359000,20071670,3.703,283000,1.3421052631578947,1.3157894736842106,2.25,1.71,0.0154,-0.8053639461211234,14410100,USD,United States,none,0.98,undefined,undefined,Healthcare,Biotechnology
ABEO,Abeona Therapeutics Inc.,0.1571,undefined,-0.567,N/A,undefined,0.20676884,-13.77 ,-25334990,-27067876,66998000,43260546,0.657,6165000,1.2084615384615383,1.1723076923076923,0.1524,0.13,0.0153,-0.18461495859989907,146618000,USD,United States,buy,0.466,undefined,undefined,Healthcare,Biotechnology
ABMD,"ABIOMED, Inc.",234.35,67.16014419753088,3.257,10.48,0.28658051716462934,8.351735,43.24 ,15808732160,170232128,650558976,-10913085952,14.299,7854000,1.0312431243124311,1.0562376237623763,240.03,227.25,0.0295,3.7415710313753503,45497500,USD,United States,buy,54.858,77.15211851165886,0.32921748884855495,Healthcare,Medical Devices
ABOS,"Acumen Pharmaceuticals, Inc.",3.18,-410.7396740740742,-9.312,32.10,-129.1634195201491,0.5775234,N/A ,57831956,None,199964000,65197904,4.941,0,1.0529801324503312,1.0463576158940397,3.16,3.02,0.0337,undefined,40470300,USD,United States,buy,None,undefined,undefined,Healthcare,Biotechnology
ABNB,"Airbnb, Inc.",115.94,-932.1446716049384,-7.886,100.30,-8.03988849064118,17.079172,4.27 ,98488967168,2307960832,7920702976,-69247289856,12.649,2430998016,1.0424384103578492,1.068692681172451,118.86,111.22,0.036199998,6.654559176988905,346824000,USD,United States,buy,-38.111,786.5853257304021,6.784417161725049,Consumer Cyclical,Travel Services
ABST,Absolute Software Corporation,7.92,undefined,-0.137,N/A,undefined,23.654392,0.13 ,659360960,53557952,61596000,-354406016,1.222,279942016,1.1664212076583211,1.1984536082474226,8.1375,6.79,None,1.0750161981188504,49820600,USD,Canada,buy,83.516,undefined,undefined,Technology,Software—Application
ABSI,Absci Corporation,3.55,-53.07030123456791,-2.684,9.70,-14.94938062945575,0.913645,2.78 ,425778048,None,279262016,-75363424,3.016,21715000,1.0708898944193062,1.0769230769230769,3.57,3.315,0.0828,undefined,92591504,USD,United States,hold,-8.785,undefined,undefined,Healthcare,Biotechnology
