TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACI,Armada Acquisition Corp. I,9.75,undefined,None,,undefined,1956,,213004976,None,13746,-202525166,0.001,132352,1.04389721627409,1.04389721627409,9.75,9.34,None,undefined,20709500,USD,United States,none,None
AAME,Atlantic American Corporation,3.42,undefined,0.614,N/A,undefined,0.5184214,,93921728,31535250,14327000,-58220816,0.703,38295000,1.684729064039409,1.6551724137931036,3.36,2.03,0.0271,1.5474689134680497,20378600,USD,United States,none,4.869
AACG,ATA Creativity Global,1.3,-17.22426966292135,-0.312,25.00,-13.249438202247193,0.20833333,-0.88 ,14391200,None,75232600,35383936,2.412,45096760,1.1818181818181817,1.1363636363636362,1.25,1.1,None,undefined,31376900,USD,China,strong_buy,-0.272
AAL,"American Airlines Group, Inc.",16.52,825.246202247191,-5.184,-105.10,49.95437059607694,None,0.17 ,42815328256,-1145750016,14535999488,3560637440,22.45,46655000576,1.1230455472467709,1.114887831407206,16.4,14.71,0.1713,-1.7694598793406136,647513984,USD,United States,hold,-9.004
AACIW,,,,,,,,,,,,,,,,,,,,,,,,,
AACIU,,10.02,,None,,,2002.0001,,,None,13746,,,132352,,,10,9.76,,,,,,,
AADR,,62.43,,None,,,None,Not Found!,,,,,,,,,61.9724,58.48,,,,,,,
AADI,"Aadi Bioscience, Inc.",25.4,undefined,-8.896,N/A,undefined,3.56026,,369946336,None,161375008,-376227616,7.723,613000,26.62473794549266,25.79664570230608,24.61,0.954,None,undefined,20894000,USD,United States,buy,-29.182
AAOI,"Applied Optoelectronics, Inc.",5.44,-72.31408239700374,-2.041,13.00,-13.293029852390394,0.5836937,0.47 ,258984192,-15275375,43534000,-111243392,1.595,154019008,1.0461538461538462,1.0173076923076922,5.29,5.2,0.1496,-0.559586740226247,27297600,USD,United States,hold,-8.427
AAON,"AAON, Inc.",77.41,44.9310861423221,1.33,12.00,0.580429997963081,10.200366,24.18 ,3956640768,30429124,101813000,-3981803768,1.942,0,1.307159743329956,1.283856805133401,76.03,59.22,0.03,0.5803983367666132,52428000,USD,United States,hold,35.065
AAWW,Atlas Air Worldwide Holdings,89.06,515.8077153558054,16.919,10.00,5.791687798740235,0.96555847,1.80 ,4432520704,196027008,773910976,-1760259648,26.661,2621171968,1.7733970529669456,1.7196336121067304,86.36,50.22,0.1717,6.7529620404915205,29028300,USD,United States,buy,4.693
AATC,Autoscope Technologies Corporat,6.49,25.220898876404497,0.537,20.00,3.886116930108551,1.6679698,30.11 ,26474694,1562000,8502000,-25880208,1.583,111000,1.5985221674876848,1.576354679802956,6.4,4.06,0.0047,0.29075503237023054,5372220,USD,United States,none,12.883
AAPL,Apple Inc.,172.26,223.54274157303374,5.61,15.68,1.2977054543889106,44.556103,8.00 ,2881673756672,73295003648,62639001600,-2745152352256,3.818,136521998336,1.4823164959986233,1.4602013596076069,169.69,116.21,0.0069,4.467464138872635,16406400000,USD,United States,buy,23.967
AAXJ,,81.81,,None,,,None,Not Found!,,,,,,,,,80.99,80.88,,,,,,,
ABCL,AbCellera Biologics Inc.,13.69,19.63355805243446,0.644,10.00,1.4341532543779738,4.417576,16.24 ,3133127680,167605184,753478976,-3464604096,2.676,31759000,1.1221311475409836,1.087704918032787,13.27,12.2,0.1087,0.5952290415966714,281580992,USD,Canada,buy,10.495
ABCM,Abcam plc,22.385,undefined,0.095,N/A,undefined,7.9757657,41.33 ,4954086912,15400000,219900000,-4901875104,0.972,110500000,1.3060093348891482,1.263127187864644,21.65,17.14,None,0.06729151411010416,228855008,USD,United Kingdom,buy,81.215
ABCB,Ameris Bancorp,48.8,151.72584269662923,5.58,8.00,3.1091361208325665,1.1621065,,163774176,None,3777502976,393928704,54.449,555707008,1.3585746102449887,1.308741648106904,47.01,35.92,0.0418,undefined,69635200,USD,United States,buy,None
ABGI,ABG Acquisition Corp. I,9.81,undefined,-0.099,,undefined,None,N/A ,189034656,None,617654,-188841834,0.032,0,1.0208116545265349,1.0135275754422477,9.74,9.61,0.0002,undefined,15566300,USD,United States,none,None
ABIO,"ARCA biopharma, Inc.",2.29,undefined,-1.485,N/A,undefined,0.6033605,N/A ,-24806772,-10266125,58313000,24161064,4.047,507000,1.055299539170507,1.034562211981567,2.245,2.17,0.0347,-0.712425659780293,14410100,USD,United States,none,1.322
ABMD,"ABIOMED, Inc.",310,100.1009063670412,3.257,10.15,0.32290614957110064,10.3690195,61.69 ,13461517312,170232128,650558976,-13706177024,14.299,7854000,1.1865120373559919,1.1678340414130977,305.12,261.27,0.0234,3.7415710313753503,45497500,USD,United States,buy,46.713
ABEO,Abeona Therapeutics Inc.,0.4881,undefined,-0.567,N/A,undefined,0.3742018,-7.63 ,-11086866,-27067876,66998000,37136024,0.657,6165000,1.8077777777777775,1.0,0.27,0.27,0.010299999,-0.2655848427166938,101918000,USD,United States,buy,0.204
ABNB,"Airbnb, Inc.",156.38,-1413.9273108614234,-7.886,100.30,-9.041612168189177,22.206442,5.88 ,92433719296,2307960832,7920702976,-92413577728,12.649,2430998016,1.2056125202374526,1.152108549841955,149.44,129.71,0.034,6.654559176988905,346824000,USD,United States,buy,-35.768
