TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.86,undefined,-0.085,,undefined,224.0909,,202295504,None,657590,-203538074,0.032,0,1.0556745182012848,1.0556745182012848,9.86,9.34,0.0001,undefined,20709500,USD,United States,none,None,undefined,undefined
AACIU,,9.98,,-0.085,,,226.36363,N/A ,,None,657590,,,0,,,9.96,9.76,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",15.71,undefined,-8.896,N/A,undefined,2.010516,6.32 ,350932768,None,161375008,-142214816,7.723,613000,1.0978336827393431,1.0041928721174003,14.37,14.31,None,undefined,20894000,USD,United States,buy,-27.682,undefined,undefined
AACG,ATA Creativity Global,1.16,-10.779485981308412,-0.313,25.00,-9.292660328714149,0.18700786,-0.72 ,14391200,None,75232600,39462936,2.412,45096760,1.16,1.14,1.14,1,None,undefined,31376900,USD,China,strong_buy,-0.272,undefined,undefined
AADR,,54.035,,None,,,None,Not Found!,,,,,,,,,53.34,52.82,,,,,,,,,
AAME,Atlantic American Corporation,3,undefined,0.614,N/A,undefined,0.43541574,,81287016,31535250,14327000,-46605016,0.703,38295000,1.4150943396226414,1.3774056603773586,2.9201,2.12,0.0242,1.5474689134680497,20378600,USD,United States,none,4.214,undefined,undefined
AAL,"American Airlines Group, Inc.",18.54,514.8148037383178,-5.184,-105.10,27.767788766899557,None,0.26 ,44944011264,-124625000,12430999552,879349760,19.149,46177001472,1.4903536977491962,1.4155948553054662,17.61,12.44,0.1489,-0.19246688578080193,647513984,USD,United States,hold,-15.814,19.11358063838132,1.0309374670108586
AAON,"AAON, Inc.",47.93,28.02943925233645,1.33,12.00,0.5847994836706958,6.8242536,11.18 ,2968372480,30429124,101813000,-2630210040,1.942,0,1.0090526315789474,1.049578947368421,49.855,47.5,0.0347,0.5803983367666132,52428000,USD,United States,hold,26.307,12.231759340268344,0.2552004869657489
AAOI,"Applied Optoelectronics, Inc.",2.61,-45.11182242990654,-2.041,13.00,-17.284223153220896,0.26044884,0.11 ,254889552,-15275375,43534000,-25528928,1.595,154019008,1.078512396694215,1.0,2.42,2.42,0.1519,-0.559586740226247,27297600,USD,United States,hold,-8.294,-12.36843589378574,-4.738864327120973
