TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AADI,"Aadi Bioscience, Inc.",29.37,undefined,-0.358,N/A,undefined,None,, 605.21 Mil ,600937984,$,None,11674604,-593535124,0.561,$0.00,9411781,30.786163522012583,30.041928721174006,28.66,0.954,None,Not Found!,-271.431
AACIU,,9.96,,Unexpected error:<class 'TypeError'>,,,1982,, - ,,$,None,1937,,,$0.20,7000,,,9.91,9.76,,Not Found!,
AACG,ATA Creativity Global,2.34,-15.504296296296296,-0.284,25.00,-6.62576764798987,0.34985423,-0.26 , 68.13 Mil ,28282896,$0.00,None,91364512,15281632,2.9,$50.87,39872320,2.2075471698113205,2.197452830188679,2.3293,1.06,None, -5.16 ,-0.562
AADR,,63.5438,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,63.055,52.85,,Not Found!,
AAL,"American Airlines Group, Inc.",20.52,1856.2565185185188,-9.845,-124.20,90.46084398238396,None,-0.04 , 44.36 Bil ,43632836608,"$-2,548",-2783249920,17949999104,3932533760,27.724,"$80,131",48297000960,1.9303857008466603,1.9661335841956724,20.9,10.63,0.16860001, -7.53 ,-5.696
AAOI,"Applied Optoelectronics, Inc.",7.18,-65.90466666666666,-1.881,13.00,-9.178922934076136,0.69799054,0.78 , 305.88 Mil ,305884448,$-49.5,-36835500,44013000,-151133672,1.622,$195.9,154751008,1.1236306729264476,1.1111111111111112,7.1,6.39,0.19790001, -22.35 ,-13.792
AAME,Atlantic American Corporation,4.19,undefined,0.746,N/A,undefined,0.6037573,, 110.19 Mil ,115126312,$-5.6,25857000,9532000,-76397472,0.467,$262.1,38470000,2.2052631578947373,2.1315789473684212,4.05,1.9,0.069, 4.78 ,4.993
AAON,"AAON, Inc.",65.34,47.77259259259259,1.43,12.00,0.7311385459533607,9.098484,20.49 , 3.38 Bil ,3379185664,$61.5,40959500,111427000,-3379183432,2.126,$120.5,0,1.1611871334636574,1.1478585391860672,64.59,56.27,0.0421, 28.65 ,28.667
AATC,Autoscope Technologies Corporat,7.41,25.080000000000002,0.54,20.00,3.3846153846153846,1.8970895,24.99 , 30.78 Mil ,30782458,$2.09,1379500,8427000,-30753488,1.57,$1.00,29000,2.1478260869565218,2.101449275362319,7.25,3.45,0.0125, 11.12 ,15.292
AAPL,Apple Inc.,141.5,236.07284148148145,5.108,19.86,1.6683593037560527,36.74652,7.48 , 2.42 Til ,2412813484032,"USD94,768",80625876992,61696000000,-2296336990208,3.732,"USD265,560",135491002368,1.3184867685426762,1.2962178531494595,139.1101,107.32,0.0061000003, 21.13 ,21.75
