TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACIU,,9.95,,-0.085,,,223.18181,N/A ,,None,657590,,,0,,,9.82,9.76,,,,,,,
AACI,Armada Acquisition Corp. I,9.8,undefined,-0.085,,undefined,223.06818,,202295504,None,657590,-202606138,0.032,0,1.049250535331906,1.0508565310492506,9.815,9.34,0.0002,undefined,20709500,USD,United States,none,None
AACG,ATA Creativity Global,1.54,-15.42558139534884,-0.315,25.00,-10.016611295681065,0.25426507,-0.77 ,21877192,None,75232600,26598408,2.412,45096760,1.54,1.48,1.48,1,None,undefined,31376900,USD,China,strong_buy,-0.413
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",18.56,undefined,-8.896,N/A,undefined,2.4616024,,227031184,None,161375008,-210329280,7.723,613000,19.454926624737944,18.355345911949687,17.511,0.954,None,undefined,20894000,USD,United States,buy,-17.908
AADR,,60.67,,None,,,None,Not Found!,,,,,,,,,60.23,57.76,,,,,,,
AAOI,"Applied Optoelectronics, Inc.",3.77,-64.14571428571429,-2.041,13.00,-17.014778325123153,0.39324686,0.32 ,213397136,-15275375,43534000,-60742832,1.595,154019008,1.0385674931129476,1.0082644628099173,3.66,3.63,0.1714,-0.559586740226247,27297600,USD,United States,hold,-6.944
AAL,"American Airlines Group, Inc.",15.78,437.0427906976745,-3.095,-105.10,27.695994340790527,None,0.28 ,43942141952,-433249984,12430999552,2300533760,19.192,46151999488,1.0587051325058705,1.0,14.905,14.905,0.1488,-0.6688764172615665,647728000,USD,United States,hold,-13.823
AAME,Atlantic American Corporation,2.35,undefined,0.614,N/A,undefined,0.36405998,,74969656,31535250,14327000,-36619500,0.703,38295000,1.1084905660377358,1.1367924528301887,2.41,2.12,0.0211,1.5474689134680497,20378600,USD,United States,none,3.887
AAON,"AAON, Inc.",61.96,39.85581395348838,1.33,12.00,0.6432507093848996,8.187532,20.01 ,3146627840,30429124,101813000,-3175985656,1.942,0,1.0462681526511315,1.0187436676798378,60.33,59.22,0.0295,0.5803983367666132,52428000,USD,United States,hold,27.886
AAPL,Apple Inc.,159.22,201.0009169435216,6.015,14.36,1.262409979547303,38.693775,7.94 ,2842222133248,79943254016,63913000960,-2718325342208,3.911,122797998080,1.3701058428706652,1.4009121418122366,162.8,116.21,0.0055,4.894165474202464,16334399488,USD,United States,buy,22.167
AATC,Autoscope Technologies Corporat,6.18,22.372026578073093,0.537,20.00,3.6200690255781707,1.6549388,29.88 ,24809308,1562000,8502000,-25611596,1.583,111000,1.522167487684729,1.5207635467980296,6.1743,4.06,0.0029,0.29075503237023054,5372220,USD,United States,none,12.073
AAXJ,,78.76,,None,,,None,Not Found!,,,,,,,,,77.87,77.87,,,,,,,
AAWW,Atlas Air Worldwide Holdings,76.08,457.54372093023267,16.919,10.00,6.013981610544594,0.8385869,1.74 ,4055733504,196027008,773910976,-1427014720,26.661,2621171968,1.4815968841285296,1.4430379746835442,74.1,51.35,0.2086,6.7529620404915205,29028300,USD,United States,buy,4.294
ABCB,Ameris Bancorp,49.67,134.58737541528242,5.58,8.00,2.7096310733900224,1.1692815,,296328672,None,4021650944,617186048,57.969,872051968,1.2683861082737489,1.1803370786516856,46.222,39.16,0.042600002,undefined,69635200,USD,United States,buy,None
ABCM,Abcam plc,16.99,undefined,0.097,N/A,undefined,6.2401996,32.81 ,3733737984,15400000,219900000,-3823789472,0.972,110500000,1.0732785849652557,1.0770688566013897,17.05,15.83,None,0.06728299051047693,228884000,USD,United States,buy,61.209
ABCL,AbCellera Biologics Inc.,7.77,17.415813953488374,0.644,10.00,2.2414174972314513,2.5331762,10.07 ,1466166528,167605184,753478976,-1665301696,2.676,31759000,1.0471698113207546,1.0404312668463611,7.72,7.42,0.1225,0.5952290415966714,281580992,USD,Canada,buy,4.911
ABGI,ABG Acquisition Corp. I,9.7,undefined,-0.099,,undefined,None,N/A ,186908080,None,617654,-186908570,0.032,0,1.0093652445369408,1.0093652445369408,9.7,9.61,0.0002,undefined,15566300,USD,United States,none,None
ABIO,"ARCA biopharma, Inc.",1.81,undefined,-1.485,N/A,undefined,0.450611,N/A ,-31867742,-10266125,58313000,32807124,4.047,507000,1.0584795321637428,1.0146198830409356,1.735,1.71,0.0226,-0.712425659780293,14410100,USD,United States,none,1.698
ABEO,Abeona Therapeutics Inc.,0.2234,undefined,-0.567,N/A,undefined,0.2989783,-7.56 ,-38064540,-27067876,66998000,32674728,0.657,6165000,1.0638095238095238,1.0452380952380953,0.2195,0.21,0.0111,-0.18461495859989907,146618000,USD,United States,buy,0.7
ABMD,"ABIOMED, Inc.",277.3,89.36515481727577,3.257,10.27,0.3222688597810161,9.1104765,54.50 ,11973748736,170232128,650558976,-11963622912,14.299,7854000,1.06135415470586,1.0276725226776897,268.5,261.27,0.0257,3.7415710313753503,45497500,USD,United States,buy,41.55
ABOS,"Acumen Pharmaceuticals, Inc.",4.85,-552.6563720930234,-9.312,32.10,-113.9497674418605,0.86888665,80.72 ,-3682933,None,199964000,-2792208,4.941,0,1.0543478260869565,1.0,4.6,4.6,0.0336,undefined,40470300,USD,United States,strong_buy,None
ABNB,"Airbnb, Inc.",138.41,-1254.2145913621264,-7.886,100.30,-9.061589418120992,20.077345,5.25 ,81181106176,2307960832,7920702976,-82793785856,12.649,2430998016,1.0670727006398888,1.0359594479993832,134.3743,129.71,0.0374,6.654559176988905,346824000,USD,United States,buy,-31.414
ABSI,Absci Corporation,5.87,-71.40688372093025,-2.684,9.70,-12.164716136444676,1.4933207,5.28 ,285964928,None,279262016,-300360832,3.016,21715000,1.042610255590487,1.0,5.6301,5.6301,0.0828,undefined,92591504,USD,United States,hold,-5.9
ABST,Absolute Software Corporation,7.49,undefined,-0.137,N/A,undefined,21.728046,0.11 ,597310592,47355712,55869000,-326573304,1.123,280480000,1.0373961218836565,1.0249307479224377,7.4,7.22,None,0.9505247227050658,49820600,USD,Canada,buy,137.408
ABTX,"Allegiance Bancshares, Inc.",43.72,undefined,3.729,N/A,undefined,1.0848376,,241218832,None,903761024,36022848,44.636,259760000,1.2746355685131197,1.194460641399417,40.97,34.3,0.0222,undefined,20247500,USD,United States,hold,None
ACABU,,9.99,,None,,,2497.4998,,,None,None,,,None,,,9.95,9.95,,,,,,,
ABVC,"ABVC Biopharma, Inc.",2.51,undefined,-0.418,N/A,undefined,7.9421225,3.16 ,69788624,-6283795,3826929,-66838287,0.135,3501351,1.287179487179487,1.2461538461538462,2.43,1.95,0.0058999998,-0.2196409222143771,28609400,USD,United States,none,-6.914
ABUS,Arbutus Biopharma Corporation,2.42,undefined,-0.917,N/A,undefined,None,-3.61 ,369662592,-36304124,121403000,-248391912,0.897,2741000,1.0168067226890756,1.0,2.38,2.38,0.0311,-0.25037326896551726,145000000,USD,United States,buy,-5.651
ACAD,ACADIA Pharmaceuticals Inc.,21.53,-58.76411960132891,-1.2,25.00,-2.729406391143934,6.267007,10.74 ,2986611968,-37918000,540291008,-3014024256,3.361,65827000,1.3730867346938775,1.3424744897959184,21.05,15.68,0.068,-0.2358730000746473,160756000,USD,United States,hold,-21.88
ACAHW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACAHU,,10.04,,None,,,None,N/A ,,None,212592,,,0,,,9.95,9.8,,,,,,,
ACAH,Atlantic Coastal Acquisition Co,9.88,undefined,None,,undefined,None,,427147520,None,212592,-424137424,0.005,0,1.0280957336108223,1.0239334027055151,9.84,9.61,None,undefined,34500000,USD,United States,none,None
ACBAU,,10.5201,,-0.095,,,None,N/A ,,None,316825,,,144499,,,10.24,9.76,,,,,,,
ACBA,Ace Global Business Acquisition,10.13,undefined,-0.095,,undefined,None,,61154696,None,316825,-61010195,0.052,144499,1.0443298969072166,1.043298969072165,10.12,9.7,None,undefined,6054000,USD,Hong Kong,none,None
ACBAW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACB,Aurora Cannabis Inc.,3.79,undefined,-2.536,N/A,undefined,0.38254577,-1.62 ,782787200,-161696752,375272992,-401733984,1.893,406776000,1.0215633423180592,1.0,3.71,3.71,None,-0.8157109590976048,198228000,USD,Canada,hold,-3.804
ACBI,"Atlantic Capital Bancshares, In",29.6,91.30438538205982,2.357,18.00,3.0846076142587777,1.6397923,,143933776,None,531175008,-66447136,26.16,74089000,1.6713721061547149,1.6233766233766234,28.75,17.71,0.028399998,undefined,20334200,USD,United States,buy,None
ACCD,"Accolade, Inc.",15.89,-19.408531561461796,-1.747,-0.90,-1.2214305576753806,1.4888021,1.14 ,978245632,96218248,365982016,-809137856,5.466,280259008,1.0201592193117617,1.0,15.576,15.576,0.0859,1.4369854715763817,66958400,USD,United States,strong_buy,-10.193
ACET,"Adicet Bio, Inc.",11.53,-110.64143521594686,-2.013,29.10,-9.595961423759485,1.7196234,6.20 ,196755344,-35807876,192226000,-265358000,6.015,20535000,1.8448,1.7872,11.17,6.25,0.0392,-0.9147917390504609,39143200,USD,United States,strong_buy,-4.435
ACEVU,,10.13,,-0.114,,,None,N/A ,,None,15842,,,309210,,,10.13,9.9,,,,,,,
ACEV,ACE Convergence Acquisition Cor,9.94,undefined,-0.114,,undefined,None,N/A ,286068352,None,15842,-286334174,0.001,309210,1.0142857142857142,1.0153061224489794,9.95,9.8,0.0176,undefined,23000000,USD,United States,none,None
ACER,Acer Therapeutics Inc.,2,undefined,-1.244,N/A,undefined,13.377484,-6.09 ,14645887,8058358,14151496,-14755108,0.989,176895,1.1904761904761905,1.1488095238095237,1.93,1.68,0.021,0.5631198725384691,14310200,USD,United States,buy,-0.836
ACEVW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group Ltd.,44.78,418.8006976744187,4.961,49.25,9.35240503962525,1.3935635,,16458964992,968958400,4323366912,-13199394816,11.244,2724148992,1.4315856777493605,1.4156010230179028,44.28,31.28,0.0069999998,2.509383685067518,386134016,USD,Bermuda,none,6.904
ACGLN,,24.2,,4.961,,,0.74315196,Not Found!,,968958400,4323366912,,,2724148992,,,23.66,23.66,,,,,,,
ACHL,Achilles Therapeutics plc,3.55,-49.32502325581396,-2.884,3.20,-13.89437274811661,0.48309824,N/A ,-124453616,None,281875008,134484304,6.942,13279000,1.0349854227405246,1.0204081632653061,3.5,3.43,None,undefined,40603500,USD,United Kingdom,buy,2.232
ACHC,"Acadia Healthcare Company, Inc.",50.85,-165.98561461794023,-7.495,6.65,-3.2642205431256683,1.9125444,2.04 ,6006669312,47268500,196312992,-4508218464,2.183,1567682048,1.0194466720128308,1.0038091419406576,50.07,49.88,0.040799998,0.5255816384168227,89935600,USD,United States,buy,12.099
ACGLO,Arch Capital Group Ltd. - Depos,25.12,undefined,4.961,,undefined,0.78061664,Not Found!,8899606528,968958400,4323366912,-10498756608,11.244,2724148992,1.0003982477100757,1.0,25.11,25.11,None,2.404727218666305,402939008,USD,Bermuda,none,3.733
ACIU,AC Immune SA,4.11,undefined,-1.07,N/A,undefined,1.724278,5.72 ,113554544,-45727000,188584000,-119494784,2.587,2569000,1.0173267326732673,1.0,4.04,4.04,0.0177,-0.6293275472688613,72660096,USD,Switzerland,strong_buy,-1.553
ACKIT,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACKIU,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACHV,"Achieve Life Sciences, Inc.",6.86,-154.68777408637877,-4.503,15.00,-22.54923820501148,1.8550804,N/A ,31630298,-15321500,33312000,-31066608,3.524,91000,1.0473282442748093,1.0122137404580154,6.63,6.55,0.044899996,-1.6207156261040838,9453540,USD,Canada,buy,-1.039
ACIW,"ACI Worldwide, Inc.",32.3,21.456212624584722,0.716,12.00,0.6642790286249141,3.3779001,2.32 ,5168485888,295395616,141482000,-3898085872,1.203,1145763968,1.1377245508982035,1.1331454737583657,32.17,28.39,0.0201,2.512593913206199,117566000,USD,United States,buy,22.309
ACKIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACLS,"Axcelis Technologies, Inc.",57.3,93.73754152823922,2.25,20.00,1.6359082291141225,3.857805,7.81 ,2282319616,62048876,271084992,-1697309248,8.138,55687000,1.7176258992805755,1.6247002398081536,54.2,33.36,0.035,1.862669564538692,33311800,USD,United States,buy,22.777
ACNB,ACNB Corporation,31.86,undefined,3.488,N/A,undefined,1.0557582,,-337602496,None,722782016,438453216,83.125,89721000,1.2857142857142856,1.29136400322841,32,24.78,0.004,undefined,8695070,USD,United States,none,None
ACMR,"ACM Research, Inc.",71.03,59.61707641196015,1.431,20.00,0.8393224892574989,8.35513,5.10 ,1619110272,-56726624,95255000,-1350468008,4.883,45231000,1.1674884944115713,1.1259040105193951,68.5,60.84,0.0842,-3.184759851559912,17811900,USD,United States,buy,60.221
ACOR,"Acorda Therapeutics, Inc.",1.71,-934.1411960132892,-17.041,29.00,-546.2814011773621,0.12039997,-3.19 ,180802752,7839250,36168000,16340106,3.23,188979008,1.062111801242236,1.0,1.61,1.61,0.0221,0.6997955758690257,11202200,USD,United States,buy,-3.634
ACQR,Independence Holdings Corp.,9.68,undefined,None,,undefined,None,,602769664,None,1435699,-597812493,0.023,0,1.0051921079958461,1.0051921079958461,9.68,9.63,None,undefined,49399500,USD,United States,none,None
ACQRU,,9.8,,None,,,None,N/A ,,None,1435699,,,0,,,9.79,9.79,,,,,,,
ACQRW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
ACRS,"Aclaris Therapeutics, Inc.",10.1,-188.1967707641196,-1.553,74.40,-18.633343640011844,2.931863,4.94 ,470711104,-21939876,197882000,-437045104,3.232,3052000,1.0907127429805616,1.070194384449244,9.91,9.26,0.039300002,-0.35833486042990625,61227300,USD,United States,strong_buy,-8.15
ACT,"Enact Holdings, Inc.",20.86,96.33783920265782,2.974,13.66,4.618304851517633,0.81934804,,3845215488,316884864,464081984,-2978355392,2.85,739838016,1.1119402985074625,1.0943496801705757,20.53,18.76,None,1.945989093588799,162840000,USD,United States,buy,None
ACTD,ArcLight Clean Transition Corp.,9.82,undefined,None,,undefined,None,,386694080,None,1092857,-381054439,0.028,0,1.0218522372528618,1.0187304890738813,9.79,9.61,None,undefined,31116300,USD,United States,none,None
ACRX,"AcelRx Pharmaceuticals, Inc.",0.4207,undefined,-0.325,N/A,undefined,None,-9.64 ,42440988,-19156500,48699000,-2608172,0.408,20396000,1.05175,1.0,0.4,0.4,0.0218,-0.16054861338093682,119319000,USD,United States,buy,-1.208
ACST,"Acasti Pharma, Inc.",1.1,undefined,-0.464,N/A,undefined,0.43427685,3.69 ,12585102,-5023875,50790000,469968,1.147,43000,1.0576923076923077,1.028846153846154,1.07,1.04,0.02,-0.11343597165836498,44288200,USD,Canada,strong_buy,-1.824
ACTDU,,10.15,,None,,,None,,,None,1092857,,,0,,,10.1,9.73,,,,,,,
ACTDW,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,Acacia Research Corporation,4.22,5.499269102990034,0.132,20.00,1.30314433720143,0.9213732,0.47 ,-151707440,13316625,642732992,436430688,12.96,183956000,1.0497512437810945,1.0,4.02,4.02,0.0159,0.26852419447530745,49591900,USD,United States,none,10.262
ACVA,ACV Auctions Inc.,12.32,-7.680996677740865,-0.565,0.80,-0.6234575225439013,3.406149,3.28 ,2222497792,None,601651008,-1363261376,3.867,2017000,1.0458404074702887,1.0,11.78,11.78,0.038399998,undefined,93285104,USD,United States,buy,-38.09
ACWI,,97.37,,None,,,None,Not Found!,,,,,,,,,96.445,90.75,,,,,,,
ACWX,,52.87,,None,,,None,Not Found!,,,,,,,,,52.28,52.28,,,,,,,
ACXP,"Acurx Pharmaceuticals, Inc.",3.67,undefined,-1.479,N/A,undefined,2.751773,N/A ,33963808,None,14459046,-25178258,1.415,0,1.1877022653721683,1.1601941747572817,3.585,3.09,0.022,undefined,10215800,USD,United States,buy,None
ADAL,Anthemis Digital Acquisitions I,9.84,undefined,None,,undefined,4920,,298988288,None,458,-297044534,0,132500,1.411764705882353,1.4060258249641322,9.8,6.97,None,undefined,23000000,USD,United States,none,None
ADALU,,10.08,,None,,,5034.9995,,,None,458,,,132500,,,10.07,10.02,,,,,,,
ADALW,,0.4785,,None,,,239.15,,,None,458,,,132500,,,0.4781,0.45,,,,,,,
ADAP,Adaptimmune Therapeutics plc,2.71,-13.91481727574751,-1.002,1.00,-5.13461892094004,1.7368762,-1.11 ,420039488,-105806248,240120000,-178506720,1.537,25971000,1.0443159922928709,1.0,2.595,2.595,None,-0.6773594018078922,156204000,USD,United Kingdom,hold,-2.798
ADAG,Adagene Inc.,6.7,undefined,-2.504,N/A,undefined,1.6288323,-1.46 ,135376224,None,208274208,-95019616,4.779,7674029,1.1733800350262698,1.1646234676007006,6.65,5.71,None,undefined,43576700,USD,China,buy,-2.24
