TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
AACG,ATA Creativity Global,2.75,undefined,None,25.00,undefined, -5.3 ,-0.939, 80.23 Mil ,69937776,$0.00,$57.56,4.508196721311475,0.61,None
AAL,"American Airlines Group, Inc.",20.07,1050.8713846153848,-18.362,-45.70,52.36030815223641, -4.65 ,-5.373, 47.70 Bil ,46995292160,"$-8,501","$68,875",2.4327272727272726,8.25,0.16309999
AAME,Atlantic American Corporation,4.16,undefined,0.558,N/A,undefined, 5.3 ,5.785, 96.13 Mil ,104673408,$8.7,$260.1,2.632911392405063,1.58,0.0954
AAOI,"Applied Optoelectronics, Inc.",8.01,-88.4146153846154,-2.673,13.00,-11.038029386343995, -15.93 ,-13.495, 332.30 Mil ,325359360,$-63.6,$202.9,1.1125,7.2,0.2226
AAON,"AAON, Inc.",69.68,46.99230769230769,1.49,12.00,0.6744016603373664, 29.03 ,28.966, 3.58 Bil ,3565935616,$61.0,$98.1,1.5832765280618044,44.01,0.0773
AAPL,Apple Inc.,131.94,132.9588923076923,3.687,14.94,1.0077223912967432, 25.92 ,26.424, 2.29 Til ,2250238328832,"$80,219","$287,830",2.0376833976833977,64.75,0.006
AAWW,Atlas Air Worldwide Holdings,66.05,384.2307692307693,13.5,10.00,5.817271297967741, 4.17 ,4.868, 3.91 Bil ,3852225280,$746,"$3,768",2.967205750224618,22.26,0.1269
ABCB,Ameris Bancorp,48.69,95.7,3.77,8.00,1.9654959950708566,Not Found!,None, 1.99 Bil ,1862231168,$780,"$17,792",2.844042056074766,17.12,0.0381
ABCL,AbCellera Biologics Inc.,29.23,undefined,None,-86.38,undefined, 43.14 ,44.788, 7.32 Bil ,7290081792,$,$175.0,1.2599137931034483,23.2,0.0395
ABCM,Abcam plc,20.38,undefined,None,N/A,undefined, 104.79 ,84.404, 4.55 Bil ,4380548096,$37.8,$259.5,1.1507622811970637,17.71,None
ABEO,Abeona Therapeutics Inc.,1.68,undefined,-0.909,N/A,undefined, -0.97 ,-1.814, 74.14 Mil ,79662408,$-36.36,$48.65,1.696969696969697,0.99,0.0574
ABGI,ABG Acquisition Corp. I,9.95,undefined,None,,undefined,Not Found!,None, 192.75 Mil ,29850000,$,$0.30,1.0332294911734163,9.63,0.0008
ABIO,"ARCA biopharma, Inc.",3.5,undefined,-2.067,N/A,undefined, -0.25 ,-0.186, 2.35 Mil ,1814500,$-7.74,$3.91,1.3307984790874525,2.63,0.0328
ABMD,"ABIOMED, Inc.",343.4,172.7803076923077,4.387,17.10,0.503145916401595, 62.04 ,60.094, 15.39 Bil ,15056732160,$236.9,$167.0,2.2671156004489337,151.47,0.03
ABNB,"Airbnb, Inc.",170.71,undefined,None,100.30,undefined, -24.31 ,-29.452, 101.96 Bil ,98233917440,$-223,"$7,590",1.4050205761316874,121.5,0.1363
ABST,Absolute Software Corporation,14.34,undefined,None,,undefined, 28.36 ,32.169, 593.85 Mil ,585854912,$40.8,$188.8,2.1859756097560976,6.56,None
ABTX,"Allegiance Bancshares, Inc.",38.82,undefined,2.22,N/A,undefined,Not Found!,None, 662.07 Mil ,637054720,$53.9,"$5,291.5",1.8591954022988506,20.88,0.0176
ABUS,Arbutus Biopharma Corporation,3.19,undefined,-1,N/A,undefined, -5.98 ,-6.041, 346.00 Mil ,334035680,$-51.44,$35.11,3.2222222222222223,0.99,0.0531
ACAC,Acies Acquisition Corp.,9.96,undefined,None,,undefined,Not Found!,None, 268.79 Mil ,267831856,$,$0.09,1.0246913580246915,9.72,0.0033000002
ACACU,Acies Acquisition Corp.,10.35,undefined,None,,undefined,Not Found!,None, - ,278594336,$,$0.09,1.047570850202429,9.88,None
ACAD,ACADIA Pharmaceuticals Inc.,20.87,-92.25384615384618,-1.79,25.00,-4.420404703107148, -9.5 ,-11.946, 2.70 Bil ,2757779712,$-143.8,$155.6,1.0185456320156174,20.49,0.076
ACAHU,Atlantic Coastal Acquisition Co,9.95,undefined,None,,undefined,Not Found!,None, - ,74625000,$,$0.00,1.0153061224489794,9.8,None
ACBI,"Atlantic Capital Bancshares, In",24.59,46.62307692307693,1.595,10.50,1.896017768323584,Not Found!,None," -45,695,000.00 ",-70792176,$80.96,"$3,277.03",2.678649237472767,9.18,0.0136
ACCD,"Accolade, Inc.",45.84,undefined,None,25.40,undefined, -69.05 ,-54.49, 2.43 Bil ,2116984832,$-48.6,$79.2,83.34545454545454,0.55,0.0979
ACER,Acer Therapeutics Inc.,2.84,undefined,-2.058,N/A,undefined, -1.58 ,-1.584, 36.39 Mil ,35815668,$-17.03,$6.39,2.1037037037037036,1.35,0.0346
ACET,"Adicet Bio, Inc.",13.11,-289.867076923077,-5.011,29.10,-22.11037962799977, -8.77 ,-11.546, 390.36 Mil ,343665344,$-7.72,$44.01,1.854314002828854,7.07,0.0292
ACEV,ACE Convergence Acquisition Cor,9.97,undefined,None,,undefined, -254.86 ,None, 285.44 Mil ,278367584,$,$8.91,1.0385416666666667,9.6,0.013099999
ACEVU,ACE Convergence Acquisition Cor,10.8,undefined,None,,undefined,Not Found!,None, - ,300731200,$,$8.91,1.090909090909091,9.9,None
