TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
AACG,ATA Creativity Global,3.2,undefined,None,25.00,undefined, -6.33 ,-1.127, 95.76 Mil ,83935376,$0.00,$57.56,4.923076923076923,0.65,None
AAME,Atlantic American Corporation,4.02,undefined,0.558,N/A,undefined, 5.63 ,5.627, 102.05 Mil ,101815280,$8.7,$260.1,2.5443037974683542,1.58,0.12560001
AAL,"American Airlines Group, Inc.",21.76,828.2432989690722,-14.725,-45.70,38.06265160703456, -5.45 ,-4.454, 47.90 Bil ,47941496832,"$-7,314","$76,594",2.6375757575757577,8.25,0.17870001
AAOI,"Applied Optoelectronics, Inc.",8.13,-86.89546391752579,-2.673,13.00,-10.688248944345114, -15.83 ,-13.628, 330.43 Mil ,328563328,$-63.6,$202.9,1.1291666666666667,7.2,0.1907
AAON,"AAON, Inc.",68.53,46.184879725085906,1.49,12.00,0.673936666059914, 28.32 ,28.478, 3.49 Bil ,3505805568,$61.0,$98.1,1.557146103158373,44.01,0.0801
AAWW,Atlas Air Worldwide Holdings,68.99,377.62886597938143,13.5,10.00,5.4736754019333445, 4.23 ,4.975, 3.97 Bil ,3936890624,$746,"$3,768",2.2597445135931866,30.53,0.1268
AAPL,Apple Inc.,134.39,130.67437525773195,3.687,14.94,0.9723519254240045, 25.8 ,26.907, 2.28 Til ,2291369246720,"$80,219","$287,830",1.893550318785445,70.9725,0.0076
ABCB,Ameris Bancorp,52.15,131.80268041237113,5.283,8.00,2.5273764220972414,Not Found!,None, 2.12 Bil ,1422068224,$780,"$17,792",3.046144859813084,17.12,0.0341
ABCM,Abcam plc,21.15,undefined,None,N/A,undefined, 106.61 ,87.662, 4.67 Bil ,4549640192,$37.8,$259.5,1.1942405420666289,17.71,None
ABCL,AbCellera Biologics Inc.,29.48,undefined,None,-86.38,undefined, 44.27 ,45.202, 7.51 Bil ,7357456384,$,$175.0,1.2706896551724138,23.2,0.0377
ABGI,ABG Acquisition Corp. I,9.98,undefined,None,,undefined,Not Found!,None, 192.94 Mil ,29940000,$,$0.30,1.0363447559709242,9.63,0.0008
