TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
ACBA,Ace Global Business Acquisition,10,undefined,-0.095,,undefined,12.154964,, 59.97 Mil ,60297632,$,None,812369,-59969791,$3.43,327839,1.0309278350515465,1.0309278350515465,10,9.7,None, -172.62 ,None
ACB,Aurora Cannabis Inc.,6.91,undefined,-12.991,,undefined,0.60261774,-2.84 , 1.36 Bil ,1317087232,$-274.5,-266688624,476932000,-837558368,$522.9,480918016,1.8625336927223721,1.784366576819407,6.62,3.71,None, -0.72 ,-3.555
ACBAU,,10.27,,Unexpected error:<class 'TypeError'>,,,12.518161,N/A , - ,,$,None,812369,,$3.43,327839,,,10.27,10.02,,Not Found!,
ACBAW,,,,Key Error,,,,N/A , - ,,$,,,,$3.43,,,,,,,Not Found!,
ACCD,"Accolade, Inc.",47.78,-153.80576892430284,-2.031,34.70,-3.2190407895417086,6.3473697,3.75 , 3.01 Bil ,2971287040,$-47.1,71904376,425505984,-2691851328,$454.4,279433984,1.6196610169491525,1.5901694915254236,46.91,29.5,0.0417, -44.68 ,-55.946
ACBI,"Atlantic Capital Bancshares, In",23.59,97.69314741035859,2.103,18.00,4.141294930494218,1.3410424,," -81,510,000.00 ",-69468224,$115.6,None,644316032,171053120,"$3,427.3",95901000,2.2509541984732824,2.1393129770992365,22.42,10.48,0.0248,Not Found!,None
ACEV,ACE Convergence Acquisition Cor,9.89,undefined,None,,undefined,56.839085,N/A , 284.43 Mil ,284425408,$0.00,None,2093,-284335411,$46.12,90000,1.0302083333333334,1.0302083333333334,9.89,9.6,0.024300002, -87.27 ,None
ACER,Acer Therapeutics Inc.,2.69,undefined,-1.289,N/A,undefined,4.9355435,-4.22 , 32.95 Mil ,16607856,$0.90,11509127,22128332,-16223004,$32.21,241632,1.23963133640553,1.19815668202765,2.6,2.17,0.0339, -1.9 ,-0.966
ACET,"Adicet Bio, Inc.",7.83,-177.83152191235064,-2.698,29.10,-22.711560908346186,1.0612189,3.09 , 61.14 Mil ,54134620,$-52.49,-20192250,208726000,-33593904,$40.44,20541000,1.2528,1.2176,7.61,6.25,0.0463, -0.92 ,-1.187
ACEVU,,10.13,,Unexpected error:<class 'TypeError'>,,,58.448277,N/A , - ,,$0.00,None,2093,,$46.12,90000,,,10.13,9.92,,Not Found!,
ACEVW,,,,Key Error,,,,N/A , - ,,$-1.49,,,,$46.12,,,,,,,Not Found!,
ACGL,Arch Capital Group Ltd.,39.52,570.0766565737052,4.971,56.92,14.425016613707115,1.2109716,, 18.93 Bil ,16440088576,"$3,132",1417049088,4592785920,-10828972544,"$31,577",3189523968,1.441809558555272,1.4195549069682596,38.91,27.41,0.0128, 7.43 ,6.133
ACGLN,,26.13,,Unexpected error:<class 'TypeError'>,,,0.814467,Not Found!,,,Not Found!,1417049088,4592785920,,Not Found!,3189523968,,,26.14,24.98,,,
ACGLP,Arch Capital Group Ltd. - Depos,25.29,undefined,4.971,,undefined,0.7867894,Not Found!,,10827601920,Not Found!,1417049088,4592785920,-10760696320,Not Found!,3189523968,1.0160707111289673,1.0160707111289673,25.29,24.89,None,,4.04
ACGLO,Arch Capital Group Ltd. - Depos,26.47,undefined,4.971,,undefined,0.8259734,Not Found!,,11299228672,Not Found!,1417049088,4592785920,-10894057984,Not Found!,3189523968,1.0404874213836477,1.0397012578616351,26.45,25.44,None,,4.215
ACHL,Achilles Therapeutics plc,6.17,-104.70334661354583,-5.105,3.20,-16.96974823558279,0.77202654,N/A ," -33,889,000.00 ",-33889472,$0.00,-46949000,299316992,49199440,$29.52,14904000,1.1197822141560798,1.0998185117967332,6.06,5.51,None, 1.22 ,0.691
ACHC,"Acadia Healthcare Company, Inc.",65.7,-199.59516653386459,-7.847,6.01,-3.0379781816417744,2.439724,2.14 , 7.32 Bil ,7414492160,$345,45544376,185546000,-5625021680,"$2,207",1637619968,2.4270410048023643,2.384927964536387,64.56,27.07,0.0401, 17.6 ,15.065
ACHV,"Achieve Life Sciences, Inc.",7.95,-216.9340239043825,-5.266,15.00,-27.287298604324842,1.8533087,N/A , 33.82 Mil ,33220172,$-22.35,-12166625,42001000,-33711288,$4.71,76000,1.1990950226244343,1.1900452488687783,7.89,6.63,0.0574, -1.23 ,-1.208
ACIU,AC Immune SA,7.22,undefined,-1.119,N/A,undefined,2.7391472,11.77 , 310.94 Mil ,328569952,$-77.93,-42910752,199135008,-318878784,$24.02,2697000,1.6334841628959276,1.597285067873303,7.06,4.42,0.0369, -3.87 ,-4.532
ACIW,"ACI Worldwide, Inc.",32.54,26.59282868525897,0.74,12.00,0.8172350548635209,3.1947768,2.24 , 4.79 Bil ,4856217088,$274,308867360,146212992,-3619149184,"$1,997",1179486976,1.3401976935749587,1.3167215815485995,31.97,24.28,0.0223, 14.88 ,20.035
ACKIT,,10.01,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,363621,,$0.69,0,,,10.01,9.84,,Not Found!,
ACKIU,,10.22,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,363621,,$0.69,0,,,10.19,10.08,,Not Found!,
ACKIW,,,,Key Error,,,,N/A , - ,,$-0.30,,,,$0.69,,,,,,,Not Found!,
ACLS,"Axcelis Technologies, Inc.",48.86,80.48581673306775,1.611,20.00,1.6472741861045386,3.3639503,7.63 , 1.46 Bil ,1354926080,$52.2,12416000,219731008,-1416920128,$166.5,55400000,2.3479096588178763,2.3380057664584335,48.6539,20.81,0.0325, 17.35 ,17.472
ACMR,"ACM Research, Inc.",106.18,52.90780876494025,1.059,20.00,0.4982841285076309,13.731094,7.87 , 2.01 Bil ,1949443328,$-43.9,-14555000,105799000,-1927828264,$189.4,47881000,1.745233399079553,1.7352071005917158,105.57,60.84,0.0709, 72.88 ,77.627
ACNB,ACNB Corporation,27.62,undefined,3.422,N/A,undefined,0.9010543,," -294,594,000.00 ",-264835504,$33.39,None,592865984,353028624,"$2,442.15",88019000,1.453684210526316,1.4473684210526316,27.5,19,0.0036000002,Not Found!,None
ACQR,Independence Holdings Corp.,9.715,undefined,None,,undefined,None,, 602.65 Mil ,614484480,$,None,1676347,-601472709,$38.63,0,1.0088265835929386,1.0072689511941846,9.7,9.63,None, -1525.69 ,None
ACQRU,,9.9,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,1676347,,$38.63,0,,,9.84,9.825,,Not Found!,
ACOR,"Acorda Therapeutics, Inc.",4.46,-983.3605577689244,-14.959,29.00,-220.4844299930324,0.21440706,-2.53 , 193.31 Mil ,182632128,$-37.4,-743250,116773000,64822052,$301.0,252911008,1.7698412698412698,1.7857142857142858,4.5,2.52,0.1538, -2.83 ,-4.311
ACQRW,,,,Key Error,,,,Not Found!,,,Not Found!,,,,Not Found!,,,,,,,,
ACRS,"Aclaris Therapeutics, Inc.",17.57,-208.53808764940246,-1.435,74.40,-11.868986206568152,8.181818,9.42 , 855.26 Mil ,812741824,$-45.77,-26753750,128295000,-915103912,$54.23,14047000,8.287735849056604,7.970754716981132,16.898,2.12,0.050100002, -17.71 ,-17.866
ACRX,"AcelRx Pharmaceuticals, Inc.",1.05,undefined,-0.357,N/A,undefined,None,-8.11 , 92.57 Mil ,117386136,$-35.81,-19224876,67345000,-54140056,$115.58,20369000,1.4000000000000001,1.3466666666666667,1.01,0.75,0.1338, -2.78 ,-3.618
ACST,"Acasti Pharma, Inc.",2.25,undefined,-0.98,N/A,undefined,1.1403508,5.63 , 42.14 Mil ,949624,$-13.59,-9350500,57722000,-403318832,$7.00,66000,1.6544117647058822,1.6397058823529411,2.23,1.36,0.0147, -2.58 ,-0.104
ACTD,ArcLight Clean Transition Corp.,9.75,undefined,None,,undefined,None,, 376.01 Mil ,375731680,$,None,1164577,-333330335,$37.22,0,1.0145681581685744,1.0072840790842872,9.68,9.61,None, -955.64 ,None
ACTDU,,9.9,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,1164577,,$37.22,0,,,9.905,9.73,,Not Found!,
ACTG,Acacia Research Corporation,6.3,-37.07043824701196,-0.742,20.00,-5.8841965471447555,2.9283292,0.09 ," -27,027,000.00 ",26265240,$-29.77,-17891250,475737984,135463040,$467.93,117056000,2.0588235294117645,2.0588235294117645,6.3,3.06,0.0517, 2.78 ,-1.642
ACTDW,,,,Key Error,,,,, - ,,$,,,,$37.22,,,,,,,Not Found!,
ACVA,ACV Auctions Inc.,20.35,undefined,None,0.80,undefined,None,5.16 , 2.49 Bil ,3083766016,$0.0,None,659688000,-2410823104,$397.0,8470000,1.1193619361936196,1.077007700770077,19.58,18.18,0.0718, -110.01 ,-116.747
ACWX,,57.75,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,57.62,44.71,,Not Found!,
ACWI,,,,Key Error,,,,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,,,,Not Found!,
ACXP,,4.85,,Unexpected error:<class 'TypeError'>,,,None,N/A , 46.52 Mil ,,$0.00,None,17095596,,$1.92,0,,,4.86,3.71,, -8.4 ,
ADAP,Adaptimmune Therapeutics plc,6.21,-15.470996015936256,-0.929,1.00,-2.4913037062699286,3.1422827,2.52 , 706.58 Mil ,305018048,$-128.64,-79465248,317944000,-653912192,$111.85,22742000,1.8427299703264095,1.8160237388724034,6.12,3.37,None, -4.94 ,-2.273
ADAG,Adagene Inc.,17.15,undefined,None,N/A,undefined,None,-0.03 , 546.74 Mil ,707409536,$,-12611279,75151000,-638977704,$173.65,7980965,1.5436543654365436,1.4401440144014401,16,11.11,None, -12.48 ,-16.726
ADER,26 Capital Acquisition Corp.,9.73,undefined,None,,undefined,None,, 333.54 Mil ,332206848,$,None,886918,-333066202,$0.28,0,1.0167189132706373,1.0151515151515151,9.715,9.57,None,Not Found!,None
ADBE,Adobe Inc.,661.68,545.4945752988049,11.538,18.47,0.824408438064933,22.738535,18.56 , 312.84 Bil ,301443776512,"$6,595",5496374784,5768000000,-309205323264,"$11,730",4693000192,1.5725081990588907,1.5642378440039928,658.2,420.78,0.0101, 52.49 ,52.617
ADERU,,10.06,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,886918,,$0.28,0,,,10.07,9.86,,Not Found!,
ADERW,,,,Key Error,,,,N/A , - ,,$,,,,$0.28,,,,,,,Not Found!,
ADES,"Advanced Emissions Solutions, I",6.52,-26.45784860557769,-0.258,50.00,-4.0579522401192785,1.1860037,4.28 , 87.16 Mil ,98799408,$41.47,19081500,41335000,-80095064,$42.21,13083000,1.7814207650273222,1.756830601092896,6.43,3.66,0.0323, 1.39 ,12.76
ADGI,,,,Key Error,,,,, 5.30 Bil ,,$,,,,$28.69,,,,,,, -153.53 ,
ADI,"Analog Devices, Inc.",168.81,161.73733864541836,4.19,13.52,0.9581028294853289,5.1514144,6.98 , 95.00 Bil ,65815552000,"$2,224",2004955520,1305216000,-61373246464,"$9,377",5283246080,1.5254834628592084,1.5321706126875114,169.55,110.66,0.1108, 33 ,23.801
ADIL,"Adial Pharmaceuticals, Inc",4.15,undefined,-0.973,N/A,undefined,12.7384615,N/A , 79.92 Mil ,62859284,$-10.93,-4758694,5209845,-70152643,$3.23,273287,3.640350877192983,3.5877192982456143,4.09,1.14,0.084300004, -4.98 ,-3.928
ADILW,,,,Key Error,,,,N/A , - ,,$-10.93,,,,$3.23,,,,,,,Not Found!,
ADMA,ADMA Biologics Inc,1.19,undefined,-0.775,N/A,undefined,1.3019694,-1.31 , 216.92 Mil ,258670608,$-135.09,-90639216,61965708,-90580404,$121.22,100150160,1.0329861111111112,1.015625,1.17,1.152,0.1169, -3.85 ,-5.03
ADMS,"Adamas Pharmaceuticals, Inc.",4.56,254.0949163346614,-1.772,-90.30,55.722569371636276,34.732826,-3.74 , 251.82 Mil ,242141872,$-51.42,-33543000,124831000,-81775864,$154.68,137662000,1.5405405405405403,1.5067567567567568,4.46,2.96,0.0546, -6.11 ,-6.993
ADMP,Adamis Pharmaceuticals Corporat,1.09,undefined,-0.637,N/A,undefined,28.91892,-11.95 , 159.31 Mil ,157822432,$-21.85,-8622978,6855355,-152452677,$27.37,6858474,2.868421052631579,2.763157894736842,1.05,0.38,0.074, -3.49 ,-4.687
ADN,"Advent Technologies Holdings, I",7.83,undefined,None,N/A,undefined,None,10.59 , 404.06 Mil ,242954720,$0.00,-11100541,116109056,-226627168,$23.71,182140,1.1935975609756098,1.1265243902439024,7.39,6.56,0.097799994, -10374.08 ,-24.107
ADOC,Edoc Acquisition Corp.,10.12,undefined,None,,undefined,None,N/A , 119.62 Mil ,117902424,$,None,727773,-118728707,$0.07,0,1.0274111675126902,1.0274111675126902,10.12,9.85,0.00029999999,Not Found!,None
ADNWW,,,,Key Error,,,,N/A , - ,,$0.00,,,,$23.71,,,,,,,Not Found!,
ADOCR,,0.3655,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,None,727773,,Not Found!,0,,,0.37,0.37,,,
ADOCW,,,,Key Error,,,,N/A , - ,,$,,,,$0.08,,,,,,,Not Found!,
ADRE,,52.1972,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,52.25,43.95,,Not Found!,
ADP,"Automatic Data Processing, Inc.",203.16,191.47870916334665,5.755,10.48,0.9425020139956027,15.078459,2.35 , 85.74 Bil ,88952340480,"$2,587",3625112576,2575200000,-82881581312,"$43,102",3446400000,1.5957898044144214,1.5760741497132982,200.65,127.31,0.01, 21.81 ,23.008
ADPT,Adaptive Biotechnologies Corpor,38.35,-25.938613545816736,-1.156,4.30,-0.6763654118857036,7.3472147,8.85 , 4.91 Bil ,3806496768,$-233.9,-110202128,598412992,-4748839744,$340.1,108607000,1.2897259122246512,1.2766100554901632,37.96,29.735,0.0436, -30.07 ,-23.459
ADSK,"Autodesk, Inc.",287.68,358.7814693227092,5.836,26.57,1.247154718168483,55.45525,6.49 , 63.69 Bil ,63579176960,"$1,469",1336724992,923200000,-61655094784,"$6,093",2091200000,1.3329008942223046,1.3163600982254553,284.11,215.83,0.0098, 81.89 ,84.2
ADTN,"ADTRAN, Inc.",20.14,5.206374501992034,0.275,2.30,0.25850916097279214,2.5607526,6.77 , 869.40 Mil ,930542016,$-5.5,-669250,72745000,-875810712,$175.9,0,2.0848861283643894,2.0248447204968945,19.56,9.66,0.0374, 28.66 ,36.709
ADTX,"Aditxt, Inc.",1.74,undefined,None,N/A,undefined,None,N/A , 35.28 Mil ,28565762,$-16.59,-7826623,14045036,-12626718,$9.94,5663328,1.074074074074074,1.067901234567901,1.73,1.62,0.0435, -1.83 ,None
ADUS,Addus HomeCare Corporation,87.91,86.09800796812749,2.09,15.00,0.9793881011048515,2.5717003,4.01 , 1.50 Bil ,1437337472,$51.4,75994376,125547000,-1250574216,$345.1,239932000,1.0944970119521913,1.0580179282868527,84.98,80.32,0.020399999, 21.99 ,21.627
ADV,Advantage Solutions Inc.,8.75,undefined,None,14.46,undefined,None,0.91 , 4.67 Bil ,5670949376,$315,None,163651008,-2508144448,"$3,259",2042893952,1.1089987325728772,1.0621039290240812,8.38,7.89,0.059899997, 15.58 ,14.015
ADVM,"Adverum Biotechnologies, Inc.",2.34,undefined,-1.35,N/A,undefined,0.5288007,-0.64 ," -4,682,000.00 ",1205078,$-114.56,-83843128,363843008,144469056,$147.01,129546000,1.1331719128329298,1.0847457627118646,2.24,2.065,0.1342, 0.1 ,-0.009
ADVWW,,,,Key Error,,,,N/A , - ,,$314.78,,,,"$3,258.70",,,,,,,Not Found!,
ADXN,Addex Therapeutics Ltd,9.83,undefined,None,,undefined,None,-15.64 , 38.14 Mil ,38855264,$-12.15,-6300243,18146520,-57068016,$5.63,420161,1.106981981981982,1.1047297297297296,9.81,8.88,None, -2.79 ,-3.033
AEAC,Authentic Equity Acquisition Co,9.68,undefined,None,,undefined,None,, 290.50 Mil ,290140480,$,None,859527,-221320473,$0.42,0,1.0175549248396931,1.0154525386313467,9.66,9.513,0.0007,Not Found!,None
ADXS,"Advaxis, Inc.",0.4682,undefined,-0.327,N/A,undefined,1.8518519,-4.43 , 39.27 Mil ,13698962,$-18.08,-5608875,48110000,-34666600,$8.22,0,1.7734848484848484,1.7234848484848484,0.455,0.264,0.0308, -1.89 ,-0.712
AEACU,,10.02,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,859527,,$0.05,0,,,10,9.7,,Not Found!,
AEACW,,,,Key Error,,,,N/A , - ,,$,,,,$0.42,,,,,,,Not Found!,
AEHL,Antelope Enterprise Holdings Li,3.03,undefined,None,N/A,undefined,None,-4.02 , 25.83 Mil ,95972360,$-0.06,-23868624,13482000,-264251,$19.58,101156000,1.7022471910112358,1.691011235955056,3.01,1.78,0.1148, -0.96 ,1.727
AEI,Alset EHome International Inc.,2.56,undefined,None,N/A,undefined,None,2.39 , 20.00 Mil ,-6734032,$-9.32,-7010131,72658872,6927996,$12.27,16463782,1.5515151515151517,1.4666666666666668,2.42,1.65,0.031600002, -0.2 ,4.093
AEHR,Aehr Test Systems,10.7,-11.740637450199205,-0.235,20.00,-1.0972558364672156,22.77027,10.42 , 244.59 Mil ,125633696,$-2.93,None,4582000,-233990736,$10.22,4823000,9.304347826086957,8.54913043478261,9.8315,1.15,0.058000002, -63.17 ,-32.52
AEIS,"Advanced Energy Industries, Inc",86.17,130.56430278884463,4.026,10.00,1.5151944155604575,3.9500678,4.50 , 3.25 Bil ,4245181184,$185,159677376,512764000,-2830152608,$900,427496000,1.510694249649369,1.5208625525946704,86.75,57.04,0.0373, 12.6 ,16.221
AEP,American Electric Power Company,90.4,116.40208764940242,4.57,6.03,1.2876337129358675,2.114547,0.85 , 80.96 Bil ,80262938624,"$-2,751",-2287862528,472300000,-43920496160,"$62,728",36259098624,1.2085561497326205,1.1864973262032086,88.75,74.8,0.0234, 12.45 ,13.926
AEMD,"Aethlon Medical, Inc.",3.62,undefined,-0.706,N/A,undefined,3.784067,22.93 , 30.39 Mil ,27636210,$-7.81,-4594824,25171680,-25935812,$1.13,16835,2.806201550387597,2.751937984496124,3.55,1.29,0.021300001, -3.56 ,-3.238
AEPPL,,,,Key Error,,,,N/A , - ,,"$-2,750.60",,,,"$62,728.30",,,,,,, 12.45 ,
AEPPZ,,53.61,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,"$-2,750.60",-2287862528,472300000,,"$62,728.30",36259098624,,,51.39,44.71,, 12.45 ,
AESE,"Allied Esports Entertainment, I",1.88,undefined,-0.758,N/A,undefined,0.85661083,-3.44 , 69.83 Mil ,75861632,$-4.27,-29515484,7689991,-64326689,$42.35,4328225,2.186046511627907,2.1395348837209305,1.84,0.86,0.046, -2.5 ,-5.536
AERI,"Aerie Pharmaceuticals, Inc.",16,391.787219123506,-3.827,-66.90,24.486701195219126,None,-3.74 , 803.39 Mil ,724985472,$-52.98,-36428000,188287008,-591548512,$395.14,235942000,1.7758046614872365,1.6981132075471699,15.3,9.01,0.113000005, -8.53 ,-7.309
