TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACIU,,10.02,,-0.085,,,227.72728,N/A ,,None,657590,,,0,,,10,9.76,,,,,,,
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AADR,,62.7045,,None,,,None,Not Found!,,,,,,,,,62.15,57.76,,,,,,,
AACI,Armada Acquisition Corp. I,9.82,undefined,-0.085,,undefined,223.24773,,202769760,None,657590,-202769754,0.032,0,1.051391862955032,1.051391862955032,9.82,9.34,0.0002,undefined,20709500,USD,United States,none,None
AADI,"Aadi Bioscience, Inc.",18.56,undefined,-8.896,N/A,undefined,2.5114155,,218464624,None,161375008,-217851072,7.723,613000,19.454926624737944,18.249475890985327,17.41,0.954,None,undefined,20894000,USD,United States,buy,-17.233
AACG,ATA Creativity Global,1.54,-14.78724358974359,-0.313,25.00,-9.602106227106226,0.2559055,-0.77 ,22501026,None,75232600,26284636,2.412,45096760,1.54,1.5,1.5,1,None,undefined,31376900,USD,China,strong_buy,-0.425
AAOI,"Applied Optoelectronics, Inc.",3.85,-61.884166666666665,-2.041,13.00,-16.073809523809523,0.40662962,0.33 ,218310704,-15275375,43534000,-64291520,1.595,154019008,1.0606060606060606,1.0413223140495869,3.78,3.63,0.1714,-0.559586740226247,27297600,USD,United States,hold,-7.104
AAME,Atlantic American Corporation,2.51,undefined,0.614,N/A,undefined,0.37279743,,76396152,31535250,14327000,-37842216,0.703,38295000,1.1839622641509433,1.150943396226415,2.44,2.12,0.0211,1.5474689134680497,20378600,USD,United States,none,3.961
AAL,"American Airlines Group, Inc.",16.57,421.6342307692308,-3.095,-105.10,25.445638549742352,None,0.29 ,44376117248,-433249984,12430999552,1775873024,19.192,46151999488,1.1113346747149564,1.0757880617035547,16.04,14.91,0.1488,-0.6688764172615665,647728000,USD,United States,hold,-13.959
AAON,"AAON, Inc.",61.13,38.450641025641026,1.33,12.00,0.6289978901626211,7.852278,19.32 ,3041771776,30429124,101813000,-3041769720,1.942,0,1.033998646820027,1.0,59.12,59.12,0.0295,0.5803983367666132,52428000,USD,United States,hold,26.957
AAPL,Apple Inc.,172.68,198.07086538461542,6.015,14.85,1.1470399894870014,39.161743,7.56 ,2872193318912,80153247744,63913000960,-2749388357632,3.916,122797998080,1.4859306428018244,1.4687204199294381,170.68,116.21,0.0055,4.911531554979841,16319399936,USD,United States,buy,22.401
AATC,Autoscope Technologies Corporat,6.83,21.583269230769233,0.537,20.00,3.1600687014303417,1.8060985,32.48 ,28838470,1562000,8502000,-28727484,1.583,111000,1.6822660098522169,1.6527093596059115,6.71,4.06,0.0029,0.29075503237023054,5372220,USD,United States,none,14.033
AAWW,Atlas Air Worldwide Holdings,79.88,441.41237179487183,16.919,10.00,5.525943562780069,0.8490941,1.75 ,4075762944,196027008,773910976,-1454591552,26.661,2621171968,1.5040482018452268,1.4336283185840708,76.14,53.11,0.2086,6.7529620404915205,29028300,USD,United States,buy,4.315
AAXJ,,81.07,,None,,,None,Not Found!,,,,,,,,,80.8,77.87,,,,,,,
ABCL,AbCellera Biologics Inc.,9.34,16.801794871794872,0.644,10.00,1.7989073738538408,2.742554,10.75 ,1896985856,167605184,753478976,-1865224384,2.676,31759000,1.2587601078167117,1.2129380053908356,9,7.42,0.1225,0.5952290415966714,281580992,USD,Canada,buy,6.354
