TICKER SYMBOL,NAME,SHARES HELD,PAID PRICE,LIST PRICE,INTRINSIC VALUE,PAID VALUE,MARKET VALUE,INTRINSIC VALUE POSITION,PERCENT OWNERSHIP,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
SAH,"Sonic Automotive, Inc.",48,53.03,51.36,200.8779874213837,2545.44,2465.2799999999997,9642.143396226416,1.95532091704551e-06,9.15,15.30,3.9111757675503056,1.704448,5.913043987216178,3.94,4804135936,213224496,171000000,-1715683008,4.675,3096499968,1.5030728709394205,1.4695639449809774,50.215,34.17,0.39290002,8.685881605318473,24548400,USD,United States,hold,6.583,190.68878861822864,3.7127879403860717,Consumer Cyclical,Auto & Truck Dealerships
CIVI,"Civitas Resources, Inc.",69,199.5,67.23,319.95471698113215,13765.5,4638.87,22076.87547169812,8.10707924258731e-07,14.76,15.00,4.759106306427668,1.0811598,4.447364716646519,2.69,5461495808,1286604416,682137984,-4998156416,8.015,421635008,1.5220738057505094,1.442834503056373,63.73,44.17,0.0987,15.116817325180824,85110800,USD,United States,buy,2.301,327.689499250251,4.87415587163842,Energy,Oil & Gas E&P
RRR,"Red Rock Resorts, Inc.",18,87.22,43.48,-336.4894926624739,1569.96,782.64,-6056.81086792453,2.9303266011792936e-07,-2.132,162.60,-7.738948773285968,8.679663,2.7822870773519033,1.49,4813780992,959939968,256268000,-2396746784,4.419,2846849024,1.4034408185662177,1.3884316193796198,43.015,30.981,0.057800002,15.627431243142222,61426600,USD,United States,buy,6.728,2466.447659766707,56.726027133548925,Consumer Cyclical,Resorts & Casinos
LPG,Dorian LPG Ltd.,9,167.14,19.35,33.1443605870021,1504.2599999999998,174.15,298.2992452830189,2.2421301232673315e-07,1.529,15.00,1.712886852041452,0.93276113,5.972933895419389,1.46,1189445760,130039400,155518160,-612367664,3.875,663444480,1.796657381615599,1.7455896007428042,18.8,10.77,0.0845,3.2396139550178873,40140400,USD,United States,buy,7.327,70.22559390961207,3.6292296594114766,Energy,Oil & Gas Midstream
F,Ford Motor Company,74,21.62,13.91,20.263429769392037,1599.88,1029.34,1499.4938029350108,1.8851629644919262e-08,0.994,13.60,1.4567526793236547,1.6507374,4.013759181280237,1.23,153665650688,13603749888,28216000512,-27691393024,7.018,130233999360,1.3110273327049953,1.3025541941564562,13.8201,10.61,0.0353,3.4655791171714583,3925390080,USD,United States,hold,8.805,70.64840950812426,5.0789654570901694,Consumer Cyclical,Auto Manufacturers
GEO,Geo Group Inc (The) REIT,128,7.78,9.68,20.376519916142563,995.84,1239.04,2608.194549266248,1.0445995021830498e-06,0.94,15.00,2.1050123880312563,1.2788725,6.35659774505879,1.25,3404257536,186599632,587860992,-612982016,4.877,2983345920,1.8579654510556622,1.8637236084452977,9.71,5.21,0.3108,1.5228272085526584,122535000,USD,United States,buy,7.339,33.01055206799684,3.4101809987600045,Real Estate,REIT—Healthcare Facilities
TSQ,"Townsquare Media, Inc.",17,57.81,7.8,-84.33794549266247,982.77,132.6,-1433.745073375262,1.3639828298632005e-06,-4.46,12.00,-10.812557114443907,1.5074394,2.860198887875489,0.59,687312640,33989000,22825000,-106074536,1.333,576220032,1.092436974789916,1.0714285714285716,7.65,7.14,0.0043,2.7270830826011956,12463500,USD,United States,strong_buy,6.504,51.56874089111696,6.611377037322687,Communication Services,Advertising Agencies
X,United States Steel Corporation,17,57.81,23.73,-48.01949685534591,982.77,403.41,-816.3314465408805,6.290867696865081e-08,-3.155,8.00,-2.0235776171658624,1.3736231,2.9243020586059774,2.84,6232030208,2192875008,3035000064,-3334391552,12.794,4095000064,1.4460694698354661,1.412553321145643,23.18,16.41,0.1025,8.114756794758799,270232992,USD,United States,hold,0.954,123.50761914035408,5.204703714300636,Basic Materials,Steel
AAL,"American Airlines Group, Inc.",8,1.14,13.95,1312.0993710691826,9.12,111.6,10496.79496855346,1.2354945526550975e-08,-14.725,-105.10,94.05730258560449,None,34.02192119322034,0.47,42737082368,265500000,11232000000,2134428672,17.283,44681998336,1.1974248927038627,1.1948497854077254,13.92,11.65,0.1496,0.4100297546624105,647513984,USD,United States,hold,17.807,-36.53648782425806,-2.6191030698392876,Industrials,Airlines
HA,"Hawaiian Holdings, Inc.",8,1.20,14.16,933.0169559748429,9.6,113.28,7464.135647798743,1.5621094726318422e-07,-9.096,-119.70,65.89102796432506,1.1841336,-2.6301288970286136,0.71,1524968832,-275717760,1427838976,701641472,27.773,2168784896,1.109717868338558,1.0995297805642632,14.03,12.76,0.123900004,-5.38376655836041,51212800,USD,United States,hold,-3.495,552.2367508751744,38.99977054203209,Industrials,Airlines
