TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACG,ATA Creativity Global,0.93,undefined,-0.18,-,undefined,0.46535167,undefined,-1.64,61873776,N/A,39391128,8575032,0.625,39645840,1.86,1.843,0.9215,0.5,0.019299999,undefined,31473900,CNY,China,30816096,none,-2.105,undefined,undefined,Consumer Defensive,Education & Training Services,63.54,0.07195
AADI,"Aadi Bioscience, Inc.",3.73,undefined,-2.28,-,undefined,1.2866333,-2.584439044931991,-3.18,27057612,-35620500,62619000,-26231520,2.541,946000,3.0826446280991737,2.8512396694214877,3.45,1.21,0.0139,-1.4432532302568404,24680700,USD,United States,88850520,none,-0.427,undefined,undefined,Healthcare,Biotechnology,68.20,0.11305001
AAL,"American Airlines Group, Inc.",17.69,2.4184115523465706,0.42,-1.25,0.1367106586968101,N/A,26.10080790954485,0.70,41788506112,445375008,8949999616,-2615505920,13.62,39173001216,1.9503858875413451,1.88257993384785,17.075,9.07,0.081599995,0.677756798230407,657131008,USD,United States,11565505536,buy,8.247,3.9026068345758094,0.22061090076742845,Industrials,Airlines,64.39,0.01244
AADR,AdvisorShares Dorsey Wright,71.31,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3306587049822727,1.3217018100391864,70.83,53.59,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAME,Atlantic American Corporation,1.51,undefined,-0.36,-,undefined,0.28924832,2.9382678224373726,,53437592,10483625,21213000,-9794696,1.04,40120000,1.1984126984126984,1.162777777777778,1.4651,1.26,0.010299999,0.5139082245904372,20399800,USD,United States,31007696,none,-151.811,undefined,undefined,Financial Services,Insurance - Life,49.89,0.80286
AAOI,"Applied Optoelectronics, Inc.",32.98,undefined,-2.04,-,undefined,6.8449984,-42.85041252781506,3.85,1546373376,-38015376,34124000,-1564720928,0.757,121316000,4.9223880597014915,4.760223880597015,31.8935,6.7,0.2215,-0.769654200612235,49392800,USD,United States,1598844928,none,-31.722,undefined,undefined,Technology,Communication Equipment,45.60,0.04774
AAON,"AAON, Inc.",120.44,42.55451263537906,2.28,15.00,0.353325412117063,12.254283,111.60509507549727,28.37,9806139392,87713872,2859000,-9766135816,0.035,40000000,1.7613337233109096,1.7271863117870725,118.105,68.38,0.028299998,1.079162200601381,81279600,USD,United States,9768994816,none,31.56,20.141763816278488,0.16723483739852613,Industrials,Building Products & Equipment,41.33,0.17367001
AAPL,Apple Inc.,242.21,79.80758122743683,6.09,8.00,0.3294974659487091,64.427925,33.029588541217855,9.18,3722498277376,110846001152,65171001344,-3603433615360,4.311,119058997248,1.4761701608971234,1.4630058508044856,240.05,164.08,0.0104,7.333121927866115,15115799552,USD,United States,3668604616704,buy,27.643,96.0983126287148,0.3967561728612146,Technology,Consumer Electronics,44.91,0.02056
AAPD,Direxion Daily AAPL Bear 1X Sha,15.8,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0748299319727892,1.0683673469387756,15.705,14.7,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAPB,GraniteShares 2x Long AAPL Dail,31.52,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.9811439346323068,1.9534883720930232,31.08,15.91,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
