TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACI,Armada Acquisition Corp. I,11.05,undefined,-0.09,,undefined,N/A,79.10684546296199,N/A,91926368,1127652,54405,-89149779,0.007,2776600,1.0973187686196624,1.0943396226415094,11.02,10.07,0.0002,0.13968449803972574,8072850,USD,United States,89204184,none,N/A,undefined,undefined,Financial Services,Shell Companies,69.97,0.68711996
AACG,ATA Creativity Global,1.61,-5.233136094674556,-0.18,25.00,-3.2503950898599725,0.47732767,undefined,-1.12,63075124,N/A,65506332,15923520,1.043,29782740,2.037974683544304,1.8355696202531644,1.4501,0.79,0.0007,undefined,31401400,CNY,China,49582812,buy,-2.69,undefined,undefined,Consumer Defensive,Education & Training Services,64.86,0.0
AACIU,Armada Acquisition Corp. I,10.92,undefined,-0.203,,undefined,N/A,undefined,N/A,90716248,1127652,54405,N/A,0.007,2776600,1.2311161217587374,1.2311161217587374,10.92,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,57.97,0.0
AACIW,Armada Acquisition Corp. I Warrant,0.0275,undefined,N/A,,undefined,5.4,undefined,N/A,N/A,1127652,54405,N/A,0.007,2776600,1.095617529880478,1.0,0.0251,0.0251,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AADI,"Aadi Bioscience, Inc.",2.05,undefined,-2.44,N/A,undefined,0.50653595,-1.3350513878021935,-2.23,-54295376,-37703500,108845000,55562384,4.433,1267000,1.3225806451612903,1.3096774193548386,2.03,1.55,0.0589,-1.5355214179244283,24554200,USD,United States,53282616,buy,0.757,undefined,undefined,Healthcare,Biotechnology,54.20,0.1245
AAGR,African Agriculture Holdings In,0.51,undefined,N/A,,undefined,N/A,-3.397640054759074,-13.31,30008568,-8686049,34497,-25803029,0.001,12566293,1.6831683168316833,1.4194719471947195,0.4301,0.303,N/A,-0.15010418754795496,57866800,USD,United States,25837526,none,-0.612,undefined,undefined,Consumer Defensive,Farm Products,30.88,0.53927
AAGRW,None,0.015,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,0.9554140127388535,1.0,0.0157,0.0157,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AADR,AdvisorShares Dorsey Wright,60.6,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3333333333333333,1.3328932893289327,60.58,45.45,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAL,"American Airlines Group, Inc.",13.99,60.055140039447735,1.21,48.69,4.292719087880467,N/A,5.799335316556676,0.76,41418403840,1579500032,8384999936,-755407360,12.806,40662999040,1.2882136279926335,1.278084714548803,13.88,10.86,0.0655,2.412345421734725,654756992,USD,United States,9140407296,buy,6.575,119.73036539322273,8.558282015241081,Industrials,Airlines,37.57,0.0187
AAOI,"Applied Optoelectronics, Inc.",12.92,-32.65285996055227,-1.75,13.00,-2.5273111424576062,2.2545712,112.63878575280262,1.13,563362688,4404375,45366000,-442289872,1.181,121073000,8.075,7.921875,12.675,1.6,0.2482,0.11470294103093642,38398100,USD,United States,487655872,buy,-26.927,2.140216611740944,0.16565144053722475,Technology,Communication Equipment,35.23,0.04111
