TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AADR,,51.67,,{},,,{},,Not Found!,,,,,,,,,52.53,43.35,,,,,,,,,,,,
AAL,,16.57,,2.56,109.96,,{},,0.89,,{},{},,,{},,,16.59,11.65,,,,,,10969948160,,,,,,
AACI,Armada Acquisition Corp. I,10.57,undefined,-0.59,,undefined,{},80.57645082409836,N/A,99311600,1209261,235949,-97386379,0.026,2201754,1.2348130841121494,1.2348130841121494,10.57,8.56,0.0031,0.13117976644410334,9218350,USD,United States,97622328,none,{},undefined,undefined,Financial Services,Shell Companies
AACIU,,10.6,,-0.203,,,{},,N/A,,1209261,235949,,,2201754,,,10.6,9.71,,,,,,{},,,,,,
AAME,Atlantic American Corporation,1.89,undefined,-0.15,N/A,undefined,0.35791123,2.084108661225484,,63601460,18470250,13548000,-23792600,0.664,40162000,1.0499999999999998,1.0166666666666666,1.83,1.8,0.0036000002,0.9068625044188695,20367200,USD,United States,37340600,none,-191.571,undefined,undefined,Financial Services,Insurance—Life
AADI,"Aadi Bioscience, Inc.",5.38,undefined,-2.55,N/A,undefined,0.8972213,-4.117767772548958,1.34,-8848938,-31927750,151174000,20191680,6.186,1568000,1.0406189555125724,1.0,5.17,5.17,0.071,-1.3065331259974629,24437000,USD,United States,130982320,buy,0.143,undefined,undefined,Healthcare,Biotechnology
AACG,ATA Creativity Global,1.35,-6.8413502109704645,-0.22,25.00,-5.067666822941084,0.34181637,undefined,-1.18,10421141,{},65636832,22364148,2.09,33403372,1.1946902654867257,1.1720353982300886,1.3244,1.13,{},undefined,31585900,CNY,China,43272684,strong_buy,-0.284,undefined,undefined,Consumer Defensive,Education & Training Services
AAON,"AAON, Inc.",100.02,41.86497890295359,2.2,12.00,0.41856607581437305,9.163034,-1080.409169537083,15.79,5616276992,-5022500,2515000,-5586597832,0.046,90983000,1.921613832853026,1.936599423631124,100.8,52.05,0.0345,-0.09257603769029008,54252700,USD,United States,5589112832,buy,29.981,-1.7616790294650138,-0.017613267641121914,Industrials,Building Products & Equipment
AAOI,"Applied Optoelectronics, Inc.",6.19,-50.29367088607595,-2.52,13.00,-8.124987219075274,1.1300101,36.73292166975787,-0.33,336027040,4919875,16103000,-179800152,0.552,156227008,3.86875,3.90625,6.25,1.6,0.2322,0.16851368523446947,29195700,USD,United States,195903152,hold,-9.205,3.3631634226119855,0.5433220391941818,Technology,Communication Equipment
