TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIU,,9.95,,-0.203,,,None,,N/A,,None,439863,,,483034,,,9.95,9.82,,,,,,None,,,,,,
AACI,Armada Acquisition Corp. I,9.94,undefined,-0.203,,undefined,None,undefined,N/A,205895600,None,439863,-205412553,0.021,483034,1.064239829,1.062098501,9.92,9.34,0.0001,undefined,20709500,USD,United States,205852416,none,None,undefined,undefined,Financial Services,Shell Companies
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACG,ATA Creativity Global,1.88,-4.247118644,-0.153,25,-2.259105662,0.37869328,undefined,-0.89,35737260,None,60516272,934748,1.927,36677972,2.136363636,2.022727273,1.78,0.88,None,undefined,32737100,USD,China,59581524,strong_buy,-0.795,undefined,undefined,Consumer Defensive,Education & Training Services
AADR,,44.77,,None,,,None,,Not Found!,,,,,,,,,44.73,43.35,,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",13.46,293.8459209,-3.671,-105.1,21.8310491,None,32.94789963,0.47,42360139776,265500000,11232000000,2321857536,17.283,44681998336,1.155364807,1.133905579,13.21,11.65,0.14899999,0.408523765,649900992,USD,United States,8910142464,hold,17.65,-32.70036554,-2.429447662,Industrials,Airlines
AAME,Atlantic American Corporation,2.76,undefined,0.13,N/A,undefined,0.5125327,1.547762474,,78172944,36375000,15910000,-39981892,0.78,38748000,1.301886792,1.25,2.65,2.12,0.015,1.783219354,20398500,USD,United States,55891892,none,12.617,undefined,undefined,Financial Services,Insurance—Life
AADI,"Aadi Bioscience, Inc.",12.56,undefined,-8.813,N/A,undefined,2.4743865,-5.629085438,3.84,152046464,-46894120,118737000,-150278040,5.65,1768000,1.141818182,1.136363636,12.5,11,0.051999997,-2.231268319,21016800,USD,United States,269015040,buy,-2.651,undefined,undefined,Healthcare,Biotechnology
AAOI,"Applied Optoelectronics, Inc.",2.83,-35.80903955,-2.01,13,-12.65337087,0.34508815,4.874080933,-0.1,194629728,16189375,33667000,-42731872,1.207,150224992,1.912162162,1.824324324,2.7,1.48,0.132,0.580622283,27882800,USD,United States,76398872,buy,-6.136,10.34404294,3.655138847,Technology,Semiconductors
AAON,"AAON, Inc.",54.29,17.49642185,1.03,12,0.322277065,6.092278,-31.18567122,8.45,2980498432,-92541872,17647000,-2972524136,0.332,112165000,1.142947368,1.133684211,53.85,47.5,0.0252,-1.740863604,53158600,USD,United States,2990171136,buy,29.374,-29.57173204,-0.54469943,Industrials,Building Products & Equipment
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPD,,28.26,,None,,,None,,Not Found!,,,,,,,,,27.395,23.4,,,,,,,,,,,,
AATC,Autoscope Technologies Corporat,4.35,2.361581921,0.1,20,0.542892396,1.2637682,-11.89875693,6.14,22646148,-1973750,2605000,-20934162,0.483,1712000,1.038186158,1.040572792,4.36,4.19,0.0008,-0.365584407,5398890,USD,United States,23539162,none,17.569,-8.633575265,-1.984729946,Technology,Scientific & Technical Instruments
AAPU,,19.87,,None,,,None,,Not Found!,,,,,,,,,19.78,18.08,,,,,,,,,,,,
AAPL,Apple Inc.,143.39,87.37977401,6.05,8.93,0.60938541,40.795017,27.64895951,7.4,2.4382E+12,83344621568,48230998016,-2.31852E+12,3.001,1.19691E+11,1.111205828,1.105463422,142.649,129.04,0.0064,5.186090274,16070800384,USD,United States,2.36675E+12,buy,18.82,74.90237953,0.522368223,Technology,Consumer Electronics
AAWW,Atlas Air Worldwide Holdings,100.64,225.0380414,14.68,10,2.236069569,0.99360335,11.27758665,2.05,4508156416,253291376,606566976,-2245974720,21.417,2269519104,1.714480409,1.710732538,100.42,58.7,0.1592,8.92389508,28383500,USD,United States,2852541696,hold,4.431,136.7994462,1.359294975,Industrials,Airports & Air Services
AAXJ,,57.15,,None,,,None,,Not Found!,,,,,,,,,56.67,55.94,,,,,,,,,,,,
ABCB,Ameris Bancorp,48.27,72.23084746,5.283,8,1.496392116,1.2268286,undefined,,1516408832,None,2306835968,-1085094656,33.367,553870016,1.262951334,1.259288331,48.13,38.22,0.0402,undefined,69635200,USD,United States,3391930624,buy,None,undefined,undefined,Financial Services,Banks—Regional
ABCL,AbCellera Biologics Inc.,10.1,9.872241055,0.644,10,0.977449609,3.0404012,26.03126734,6.61,2110966528,109252000,786052992,-2117047168,2.763,40276000,1.863468635,1.813653137,9.83,5.42,0.1269,0.38799494,281580992,USD,Canada,2903100160,buy,7.37,5.947794367,0.588890531,Healthcare,Biotechnology
ABCM,Abcam plc,13.92,undefined,0.097,N/A,undefined,5.1033497,154.0091978,27.4,3304900096,20687500,219900000,-3105261216,0.962,110500000,1.110047847,1.094098884,13.72,12.54,None,0.090384212,228884000,USD,United Kingdom,3325161216,buy,48.889,undefined,undefined,Healthcare,Biotechnology
ABGI,ABG Acquisition Corp. I,9.94,undefined,-0.099,,undefined,None,undefined,N/A,189767232,None,271738,-192474294,0.014,0,1.024742268,1.024742268,9.94,9.7,0.0023,undefined,15566300,USD,United States,192746032,none,None,undefined,undefined,Financial Services,Shell Companies
ABEO,Abeona Therapeutics Inc.,3.94,undefined,-0.909,N/A,undefined,3.3833175,-9.185280347,-26.39,1056804,-62891376,31315000,-497975976,5.328,9095000,14.59259259,13.25925926,3.58,0.27,0.0367,-0.428947169,146618000,USD,United States,529290976,buy,-0.02,undefined,undefined,Healthcare,Biotechnology
ABIO,"ARCA biopharma, Inc.",2.06,undefined,-2.067,N/A,undefined,0.42692935,-2.729951121,N/A,-13294150,-10873750,49059000,19085994,3.404,460000,1.204678363,1.187134503,2.03,1.71,0.005,-0.754592265,14410100,USD,United States,29973006,none,0.719,undefined,undefined,Healthcare,Biotechnology
ABMD,"ABIOMED, Inc.",252.51,117.6854991,4.94,20.25,0.466062726,8.723571,57.32263326,44.37,12602078208,200419504,758606976,-10898762624,16.649,9996000,1.148555834,1.124312031,247.18,219.85,0.05,4.4050663,45497500,USD,United States,11657369600,buy,44.384,104.9417866,0.415594577,Healthcare,Medical Devices
ABNB,"Airbnb, Inc.",117,-494.0111186,-7.886,67.1,-4.222317253,16.86823,15.82054303,3.92,63718404096,2564918784,9322289152,-66892621824,14.647,2406010112,1.349325337,1.322338831,114.66,86.71,0.059699997,7.395447789,346824000,USD,United States,76214910976,buy,74.645,463.2809327,3.959666091,Consumer Cyclical,Travel Services
ABOS,"Acumen Pharmaceuticals, Inc.",7.44,-313.2760226,-9.312,32.1,-42.10699228,1.3250087,-6.856698057,N/A,31437844,-43913124,189090000,-120103088,4.669,201000,2.463576159,2.380794702,7.19,3.02,0.0312,-1.085070385,40470300,USD,United States,309193088,strong_buy,None,-36.50413815,-4.906470181,Healthcare,Biotechnology
