TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACG,,0.8505,,-0.2,25.00,,0.24313502,,-1.44,,,,,,,,,0.85,0.83,,,,,,,,,,,,,33.76
AACI,,10.7,,-0.45,,,,,N/A,,,,,,,,,10.75,8.56,,,,,,,,,,,,,54.35
AACIU,,10.62,,-0.203,,,,,N/A,,,,,,,,,10.62,9.71,,,,,,,,,,,,,99.15
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AADI,"Aadi Bioscience, Inc.",4.65,undefined,-2.39,N/A,undefined,0.93899155,-2.3748582802571656,1.01,-3920751,-48010248,119335000,8382448,4.866,1369000,1.1984536082474229,1.1559278350515465,4.485,3.88,0.0497,-1.9580115742723256,24519900,USD,United States,110952552,buy,0.056,undefined,undefined,Healthcare,Biotechnology,52.68
AAL,,12.01,,2.39,83.42,,,,0.78,,,,,,,,,11.6736,10.86,,,,,,,,,,,,,52.43
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAME,Atlantic American Corporation,1.71,undefined,0.01,N/A,undefined,0.3234714,1.5385569606297478,,50858936,22675750,24247000,-9212772,1.188,39959000,1.0497237569060773,1.0,1.629,1.629,0.0022,1.1114310641447287,20402300,USD,United States,33459772,none,11.727,undefined,undefined,Financial Services,Insurance - Life,43.60
AAON,"AAON, Inc.",58.58,34.17929759704251,2.05,12.00,0.5834635984472946,6.8281355,400.2628995988394,13.81,4796464640,11890500,2859000,-4658160648,0.035,40000000,1.2497511111488486,1.220203393686555,57.195,46.873333,0.0464,0.1463538091057437,81244896,USD,United States,4661019648,buy,18.849,2.4401319004321778,0.041654692735271046,Industrials,Building Products & Equipment,59.66
AAOI,"Applied Optoelectronics, Inc.",9.85,-42.14158964879853,-2.41,13.00,-4.278333974497313,1.9022586,17.453674297476372,-0.06,426976128,18816876,21578000,-304178256,0.672,132085000,6.156249999999999,6.028124999999999,9.645,1.6,0.2319,0.5643510834520507,33342500,USD,United States,325756256,buy,-10.605,9.868320239290941,1.001859922770654,Technology,Communication Equipment,63.33
AAPL,Apple Inc.,182.89,77.17681330868761,6.13,6.98,0.4219848723751305,45.53165,34.612455888625675,8.03,2906817822720,82179997696,61554999296,-2768899227648,3.958,123930001408,1.4729000563743253,1.4642023032938714,181.81,124.17,0.006,5.283935950355409,15552799744,USD,United States,2830454226944,buy,23.103,66.52485128477036,0.36374242049740485,Technology,Consumer Electronics,64.76
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABCB,,40.06,,4.12,8.00,,0.8050733,,"Bancorp)  Altman Z-Score as of today (November 09, 2023) is ",,,,,,,,,39.05,28.33,,,,,,,,,,,,,"Bancorp)  14-Day RSI as of today (November 09, 2023) is 58.17"
