TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.88,undefined,-0.203,,undefined,None,N/A,203437888,None,343600,-204266256,0.017,0,1.0578158458244111,1.0556745182012848,9.86,9.34,0.0002,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,1.03,-5.356817102137767,-0.153,25.00,-5.2007933030463755,0.19704434,-0.82,12509670,None,62413832,28287344,1.988,39557444,1.1704545454545454,1.1856818181818183,1.0434,0.88,None,undefined,31598600,USD,China,strong_buy,-0.308,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,9.98,,-0.203,,,None,N/A,,None,343600,,,0,,,9.93,9.76,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",13.25,undefined,-8.813,N/A,undefined,2.043354,5.34,139004672,-41372212,129849000,-124805720,6.2,587000,1.2045454545454546,1.1027272727272728,12.13,11,0.0546,-1.9755616464521057,20942000,USD,United States,buy,-2.982,undefined,undefined,Healthcare,Biotechnology
AAOI,"Applied Optoelectronics, Inc.",1.975,-45.16532066508313,-2.01,13.00,-22.868516792447153,0.21374397,-0.03,175248784,5627875,31980000,-19419428,1.157,153895008,1.091160220994475,1.011049723756906,1.83,1.81,0.1508,0.20365689492330127,27634100,USD,United States,hold,-5.488,4.576233315853754,2.3170801599259514,Technology,Semiconductors
AADR,,47.83,,None,,,None,Not Found!,,,,,,,,,48.48,47.68,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",12.98,370.6227648456057,-3.671,-105.10,28.55337171383711,None,0.24,41782722560,1318749952,12483999744,3455740928,19.22,45861998592,1.088013411567477,1.0800502933780385,12.885,11.93,0.1506,2.0303610166926274,649515008,USD,United States,hold,-36.748,-204.98447661164712,-15.792332558678515,Industrials,Airlines
AAME,Atlantic American Corporation,2.94,undefined,0.351,N/A,undefined,0.44647184,,83996760,31110124,15612000,-40803956,0.765,37935000,1.3867924528301885,1.2075471698113207,2.56,2.12,0.016900001,1.5247370071948088,20403600,USD,United States,none,6.989,undefined,undefined,Financial Services,Insurance—Life
AAON,"AAON, Inc.",52.4,23.99619952494062,1.12,12.00,0.4579427390255844,5.881963,9.39,2900818176,-47942500,5633000,-2784585240,0.106,82003000,1.1031578947368421,1.1073684210526316,52.6,47.5,0.025,-0.9033618987322691,53071200,USD,United States,buy,27.686,-19.354689611793507,-0.3693643055685784,Industrials,Building Products & Equipment
