TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACG,,1.09,,-0.18,25.00,,0.3355502,,-1.30,,,,,,,,,1.05,0.79,,,,,,,,,,,,,61.09
AACI,,10.81,,-0.02,,,,,N/A,,,,,,,,,10.84,8.56,,,,,,,,,,,,,70.41
AACIU,,10.7,,-0.203,,,,,N/A,,,,,,,,,10.7,9.71,,,,,,,,,,,,,99.94
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AADI,"Aadi Bioscience, Inc.",1.84,undefined,-2.32,N/A,undefined,0.36522102,-1.1521783710716669,-1.69,-74800488,-39167248,119335000,76169416,4.866,1369000,1.0574712643678161,1.0,1.74,1.74,0.0394,-1.59697495300886,24525900,USD,United States,43165584,buy,1.076,undefined,undefined,Healthcare,Biotechnology,22.30
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAGR,,,,,,,,,-11.29,,,,,,,,,,,,,,,,,,,,,,,16.18
AAGRW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AAL,,13.09,,2.39,83.39,,,,0.79,,,,,,,,,13.01,10.86,,,,,,,,,,,,,51.60
AAME,Atlantic American Corporation,2.44,undefined,0.14,N/A,undefined,0.5168493,2.102430581071372,,66907720,23678124,23921000,-27084752,1.172,39768000,1.6375838926174497,1.6375838926174497,2.44,1.49,0.014099999,1.1605615053204785,20402300,USD,United States,51005752,none,8.693,undefined,undefined,Financial Services,Insurance - Life,77.02
AAOI,"Applied Optoelectronics, Inc.",18.53,-40.960824742268045,-2.1,13.00,-2.2105140173916915,3.8712776,237.036329407792,1.43,825827072,2961375,21940000,-741382304,0.617,131705000,11.58125,11.2000625,17.9201,1.6,0.25959998,0.07817367087270999,37882000,USD,United States,763322304,buy,-24.163,1.5247895390841992,0.0822876167881381,Technology,Communication Equipment,55.17
