TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACG,ATA Creativity Global,1.1,-5.585684210526316,-0.18,25.00,-5.077894736842105,0.32648125,undefined,-1.31,31737924,N/A,65506332,31592820,1.043,29782740,1.3924050632911393,1.3521518987341772,1.0682,0.79,0.00059999997,undefined,31401400,CNY,China,33913512,buy,-1.354,undefined,undefined,Consumer Defensive,Education & Training Services,53.82
AACI,Armada Acquisition Corp. I,10.89,undefined,-0.02,,undefined,N/A,80.43931733025899,N/A,90659664,1092915,60284,-88095236,0.007,2564439,1.089,1.09,10.9,10.0,0.0002,0.13538155669930693,8072850,USD,United States,88155520,none,N/A,undefined,undefined,Financial Services,Shell Companies,75.11
AACIU,Armada Acquisition Corp. I,10.89,undefined,-0.203,,undefined,N/A,undefined,N/A,90498208,1092915,60284,N/A,0.007,2564439,1.2277339346110487,1.1048478015783543,9.8,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,57.97
AADI,"Aadi Bioscience, Inc.",1.76,undefined,-2.32,N/A,undefined,0.36107078,-1.1020836592859422,-1.70,-75291000,-39167248,119335000,76659932,4.866,1369000,1.135483870967742,1.096774193548387,1.7,1.55,0.0548,-1.59697495300886,24525900,USD,United States,42675068,buy,1.083,undefined,undefined,Healthcare,Biotechnology,36.56
AACIW,Armada Acquisition Corp. I Warrant,0.025,undefined,N/A,,undefined,5.0,undefined,N/A,N/A,1092915,60284,N/A,0.007,2564439,1.0,1.0,0.025,0.025,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A
AADR,AdvisorShares Dorsey Wright,57.02,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2790489008524002,1.268393898609242,56.545,44.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
AAGR,African Agriculture Holdings In,1.04,undefined,N/A,,undefined,N/A,-6.928520895979289,-11.36,50890668,-8686049,34497,-56674967,0.001,12566293,2.280701754385965,2.1256578947368423,0.9693,0.456,N/A,-0.15010418754795496,57866800,USD,United States,56709464,none,-1.039,undefined,undefined,Consumer Defensive,Farm Products,29.72
AAGRW,None,0.0158,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,0.9813664596273293,1.0,0.0161,0.0161,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A
AAL,"American Airlines Group, Inc.",14.34,64.10096000000001,1.21,48.69,4.47008089260809,N/A,6.256935621165762,0.76,42611216384,1499500032,7577999872,-1948215808,11.582,40662999040,1.3204419889502763,1.3015653775322285,14.135,10.86,0.0851,2.291856727994948,654273024,USD,United States,9526215680,buy,6.799,121.41340202226037,8.46676443669877,Industrials,Airlines,55.43
AAME,Atlantic American Corporation,2.75,undefined,0.14,N/A,undefined,0.56853426,2.369542663092735,,72008288,23678124,23921000,-32185324,1.172,39768000,1.8456375838926176,1.8074496644295301,2.6931,1.49,0.0039,1.1605615053204785,20402300,USD,United States,56106324,none,9.355,undefined,undefined,Financial Services,Insurance - Life,68.15
