TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACIU,,11.5,,-0.203,,,{},,N/A,,1362990,40464,,,2201754,,,11.5,9.71,,,,,,{},,,,,,,90.88
AADR,,50.78,,{},,,{},,Not Found!,,,,,,,,,50.78,43.35,,,,,,,,,,,,,Not Found!
AACG,ATA Creativity Global,1.18,-5.6012,-0.19,25.00,-4.74677966101695,0.3375286,undefined,-1.33,12107979,{},56848920,19577560,1.81,33371946,1.0535714285714284,1.0357142857142856,1.16,1.12,{},undefined,31585900,CNY,China,37271360,buy,-0.382,undefined,undefined,Consumer Defensive,Education & Training Services,37.13
AADI,"Aadi Bioscience, Inc.",5.93,undefined,-2.34,N/A,undefined,1.0988805,-3.9569617464960385,2.07,11982770,-36746124,134888992,-9533216,5.501,1469000,1.1719367588932808,1.1640316205533596,5.89,5.06,0.0387,-1.4986245457771035,24519900,USD,United States,144422208,buy,-0.18,undefined,undefined,Healthcare,Biotechnology,49.55
AACI,Armada Acquisition Corp. I,10.75,undefined,-0.45,,undefined,{},63.67114762397376,N/A,88944416,1362990,40464,-86742672,0.005,2201754,1.2558411214953271,1.2558411214953271,10.75,8.56,0.00029999999,0.1688362845835114,8072850,USD,United States,86783136,none,{},undefined,undefined,Financial Services,Shell Companies,64.34
AAL,"American Airlines Group, Inc.",13.26,407.59716800000007,3.91,109.96,30.73885128205129,{},7.1844762601187275,0.87,39727878144,1205874944,12060999680,3376969728,18.46,42582999040,1.1381974248927038,1.1339055793991417,13.21,11.65,0.1145,1.8456460178742202,653361984,USD,United States,8684029952,hold,5.316,192.39900000409452,14.509728507096117,Industrials,Airlines,19.66
AAME,Atlantic American Corporation,1.95,undefined,0.01,N/A,undefined,0.39250493,1.7544947796655017,,55755460,22675750,24247000,-16353576,1.188,39959000,1.1676646706586826,1.1916167664670658,1.99,1.67,0.0139,1.1114310641447287,20402300,USD,United States,40600576,none,12.856,undefined,undefined,Financial Services,Insurance—Life,51.43
AAOI,"Applied Optoelectronics, Inc.",9.755,-39.1644,-2.07,13.00,-4.014802665299846,1.9018497,17.28533936770376,-0.03,423923904,18816876,21578000,-304108208,0.672,132085000,6.096875,5.975,9.56,1.6,0.1936,0.5643510834520507,33342500,USD,United States,325686208,buy,-10.529,10.677522498912799,1.0945691951730188,Technology,Communication Equipment,39.21
AAPB,,24.08,,{},,,{},,Not Found!,,,,,,,,,23.84,14.25,,,,,,,,,,,,,Not Found!
AAPD,,22.26,,{},,,{},,Not Found!,,,,,,,,,22.17,19.69,,,,,,,,,,,,,Not Found!
