TICKER SYMBOL,NAME,SHARES HELD,PAID PRICE,LIST PRICE,INTRINSIC VALUE,PAID VALUE,MARKET VALUE,INTRINSIC VALUE POSITION,PERCENT OWNERSHIP,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
SAH,"Sonic Automotive, Inc.",48,53.03,51.32,181.1319470699433,2545.44,2463.36,8694.333459357278,1.95532091704551e-06,9.15,15.30,3.5294611666006097,1.7024652,5.908438812771306,3.94,4802672640,213224496,171000000,-1713488320,4.675,3096499968,1.5019022534386888,1.4942932396839332,51.06,34.17,0.39290002,8.685881605318473,24548400,USD,United States,hold,6.581,171.94433302626663,3.3504351719849303,Consumer Cyclical,Auto & Truck Dealerships
CIVI,"Civitas Resources, Inc.",69,199.5,68.36,314.8911153119093,13765.5,4716.84,21727.48695652174,8.10707924258731e-07,16.11,15.00,4.606365057225121,1.154382,4.52211590108517,2.78,5804492288,1286604416,682137984,-5382857856,8.015,421635008,1.5476567806203305,1.5877292279827935,70.13,44.17,0.0987,15.116817325180824,85110800,USD,United States,buy,2.445,295.4780550895458,4.322382315528757,Energy,Oil & Gas E&P
RRR,"Red Rock Resorts, Inc.",18,87.22,42.49,15.283553875236297,1569.96,764.82,275.10396975425334,3.1034268729181176e-07,3.5,-3.25,0.359697667103702,75.95744,2.6740308730176534,1.48,5203079680,921618752,101096000,-2383641024,1.757,2883237120,1.3714857493302346,1.3727768632387591,42.53,30.981,0.0525,15.88986889745588,58000400,USD,United States,buy,7.283,69.38676210420243,1.6330139351424435,Consumer Cyclical,Resorts & Casinos
LPG,Dorian LPG Ltd.,9,167.14,18.21,47.10661625708885,1504.2599999999998,163.89000000000001,423.95954631379965,2.2304556325200432e-07,2.41,15.00,2.5868542700213535,0.90989053,7.1616679451670695,1.45,1239693440,102599368,141286752,-610039584,3.501,646196928,1.6908077994428972,1.689879294336119,18.2,10.77,0.0829,2.542703758317741,40350500,USD,United States,buy,7.154,49.700485559556604,2.7292962965160132,Energy,Oil & Gas Midstream
F,Ford Motor Company,74,21.62,14.18,41.17534971644613,1599.88,1049.32,3046.9758790170135,1.8735885093096243e-08,2.24,13.60,2.903762321329064,1.3838519,8.330336298455942,1.24,154762608640,6723125248,31977000960,-26320105472,7.954,129764999168,1.3364750235626768,1.338388312912347,14.2003,10.61,0.0354,1.702212190716516,3949639936,USD,United States,hold,9.277,31.28981350194216,2.2066159028167953,Consumer Cyclical,Auto Manufacturers
GEO,Geo Group Inc (The) REIT,128,7.78,8.52,10.359546313799623,995.84,1090.56,1326.0219281663517,1.031010873942811e-06,0.53,15.00,1.2159091917605191,0.9273102,6.169020373389272,1.21,3042589696,171462880,91645000,-971079032,0.76,2108448000,1.6353166986564298,1.5930902111324379,8.3,5.21,0.31120002,1.38109448248087,124150000,USD,United States,buy,6.242,26.99530614149754,3.168463162147599,Real Estate,REIT—Healthcare Facilities
TSQ,"Townsquare Media, Inc.",17,57.81,8.22,17.733081285444236,982.77,139.74,301.462381852552,1.3112933208889026e-06,1.04,12.00,2.157309158813167,2.3378108,3.169041378667191,0.60,695072000,33627376,27046000,-113985392,1.579,578201024,1.1512605042016808,1.1352380952380954,8.1056,7.14,0.0041,2.59384432634234,12964300,USD,United States,strong_buy,6.279,44.22774257770871,5.380503963224903,Communication Services,Advertising Agencies
AAL,"American Airlines Group, Inc.",8,1.14,14.93,294.95686956521735,9.12,119.44,2359.6549565217388,1.2309567300983594e-08,-3.671,-105.10,19.755985905238937,None,36.54622150870056,0.47,43153018880,265500000,11232000000,1561473024,17.283,44681998336,1.2815450643776822,1.2635193133047211,14.72,11.65,0.15,0.408523764801393,649900992,USD,United States,hold,17.98,-32.823996406651055,-2.198526216118624,Industrials,Airlines
X,United States Steel Corporation,17,57.81,22.06,166.47221172022688,982.77,375.02,2830.027599243857,7.25661550633214e-08,12.13,8.00,7.546337793301309,0.5357905,2.8176780785006623,2.85,5981972992,1834125056,3364000000,-2228001024,14.36,4084999936,1.34430225472273,1.3711151736745886,22.5,16.41,0.097200006,7.829141365836414,234268992,USD,United States,hold,1.121,107.4471953042956,4.870679750874688,Basic Materials,Steel
HA,"Hawaiian Holdings, Inc.",8,1.20,14.57,373.57314177693763,9.6,116.56,2988.585134215501,1.556078138463723e-07,-4.039,-119.70,25.639886189220153,2.2089067,-2.7009893037075616,0.71,1490009216,-277328992,1427838976,660268224,27.773,2168784896,1.1418495297805642,1.141065830721003,14.56,12.76,0.0964,-5.394319770167259,51411300,USD,United States,hold,-3.395,498.9286913322186,34.24356151902667,Industrials,Airlines
UAL,"United Airlines Holdings, Inc.",10,0.86,44.33,614.1982457466919,8.6,443.29999999999995,6141.982457466919,3.058777467821661e-08,-6.123,-129.10,13.855137508384658,2.9842477,5.715921142611131,0.78,34173710336,2535500032,18695000064,4078049280,57.184,38376001536,1.451538965291421,1.4477734119187953,44.215,30.54,0.061,7.7555303675427005,326928000,USD,United States,buy,11.063,-777.9573977755878,-17.549230719052286,Industrials,Airlines
STARTING BALANCE,31081.46
