TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACI,Armada Acquisition Corp. I,11.12,undefined,-0.09, ,undefined,N/A,79.6079748007364,N/A,92492272,1127652,54405,-91008147,0.007,2776600,1.1009900990099009,1.1163366336633664,11.275,10.1,0.0008,0.13968449803972574,8072850,USD,United States,91062552,none,N/A,undefined,undefined,Financial Services,Shell Companies,48.11,0.68711996
AACIU,Armada Acquisition Corp. I,11.07,undefined,-0.203, ,undefined,N/A,undefined,N/A,91604264,1127652,54405,N/A,0.007,2776600,1.2480270574971817,1.2412626832018039,11.01,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,44.77,0.0
AACG,ATA Creativity Global,0.92,undefined,-0.15, ,undefined,0.23935431,1.3033869170176997,-1.33,20263682,22552014,60167232,32690232,0.956,22606872,1.1645569620253164,1.0886075949367089,0.86,0.79,0.0033000002,0.7058533333333333,31950000,CNY,China,27477000,buy,-1.039,undefined,undefined,Consumer Defensive,Education & Training Services,31.51,0.0
AACIW,Armada Acquisition Corp. I Warrant,0.1815,undefined,N/A, ,undefined,30.360003,undefined,N/A,N/A,1127652,54405,N/A,0.007,2776600,1.1956521739130435,1.0,0.1518,0.1518,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AAGR,African Agriculture Holdings In,0.469,undefined,N/A, ,undefined,N/A,-3.1244964425137365,-13.41,30889256,-8686049,34497,-23112223,0.001,12566293,1.6172413793103448,1.3655172413793104,0.396,0.29,N/A,-0.15010418754795496,57866800,USD,United States,23146720,none,-0.63,undefined,undefined,Consumer Defensive,Farm Products,49.54,0.53927
AADI,"Aadi Bioscience, Inc.",1.96,undefined,-2.44, ,undefined,0.44353408,-1.27643937565478,-2.37,-59451760,-37703500,108845000,62189564,4.433,1267000,1.264516129032258,1.225806451612903,1.9,1.55,0.0584,-1.5355214179244283,24554200,USD,United States,46655436,buy,0.828,undefined,undefined,Healthcare,Biotechnology,40.28,0.1245
AAGRW,None,0.0173,undefined,N/A, ,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,1.3206106870229006,1.0,0.0131,0.0131,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AADR,AdvisorShares Dorsey Wright,61.15,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3404208680403333,1.3380732135028497,61.0429,45.62,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAL,"American Airlines Group, Inc.",13.15,undefined,1.21, ,undefined,N/A,5.451126476963566,0.75,40888053760,1579500032,8384999936,-143209472,12.806,40662999040,1.2108655616942912,1.1988950276243093,13.02,10.86,0.070300005,2.412345421734725,654756992,USD,United States,8528209408,buy,6.491,undefined,undefined,Industrials,Airlines,33.12,0.0187
AAME,Atlantic American Corporation,2.09,undefined,-0.03, ,undefined,0.42789724,3.6155044037689055,,55991052,11793875,28301000,-17575612,1.387,39554000,1.4026845637583891,1.3557046979865772,2.02,1.49,0.0034,0.5780659533483969,20402300,USD,United States,45876612,none,16.684,undefined,undefined,Financial Services,Insurance - Life,32.87,0.79867
