TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACI,Armada Acquisition Corp. I,9.95,undefined,-0.203,,undefined,None,undefined,N/A,206413344,None,439863,-205930313,0.021,483034,1.0653104925053534,1.0653104925053534,9.95,9.34,0.0001,undefined,20709500,USD,United States,206370176,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,1.77,-4.362127659574468,-0.153,25.00,-2.464478903714389,0.3745318,undefined,-0.93,36993260,None,60516272,4037852,1.927,36677972,2.0113636363636362,2.028409090909091,1.785,0.88,None,undefined,31376900,USD,China,56478420,strong_buy,-0.823,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,9.95,,-0.203,,,None,,N/A,,None,439863,,,483034,,,9.95,9.82,,,,,,None,,,,,,
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AADR,,46.95,,None,,,None,,Not Found!,,,,,,,,,47.82,43.35,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",12.51,undefined,-8.813,N/A,undefined,2.422192,-5.606676657969058,4.95,155198992,-46894120,118737000,-186933592,5.65,1768000,1.1372727272727272,1.1145454545454545,12.26,11,0.0509,-2.231268318678391,21016800,USD,United States,305670592,buy,-2.706,undefined,undefined,Healthcare,Biotechnology
AAL,"American Airlines Group, Inc.",13.73,301.8030638297872,-3.671,-105.10,21.981286513458645,None,33.60881589514124,0.47,42665594880,265500000,11232000000,2061897728,17.283,44681998336,1.1785407725321888,1.1896995708154505,13.86,11.65,0.1496,0.408523764801393,649900992,USD,United States,9170102272,hold,17.777,-33.585868663671974,-2.4461666907262907,Industrials,Airlines
AAME,Atlantic American Corporation,2.86,undefined,0.13,N/A,undefined,0.5667789,1.603840824742268,,84088504,36375000,15910000,-45897456,0.78,38748000,1.3490566037735847,1.3490566037735847,2.86,2.12,0.0128999995,1.7832193543642916,20398500,USD,United States,61807456,none,13.571,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",2.43,-36.77872340425532,-2.01,13.00,-15.135277121092722,0.26196474,4.185164899818554,-0.15,194629728,16189375,33667000,-24329220,1.207,150224992,1.641891891891892,1.3986486486486485,2.07,1.48,0.1284,0.5806222832714074,27882800,USD,United States,57996220,buy,-6.136,10.624152417306604,4.372079184076791,Technology,Semiconductors
AAON,"AAON, Inc.",64.38,17.970212765957452,1.03,12.00,0.2791272563833093,7.127694,-36.9816451087136,9.52,3557800960,-92541872,17647000,-3480720232,0.332,112165000,1.3553684210526316,1.3543157894736841,64.33,47.5,0.0238,-1.7408636043838626,53158600,USD,United States,3498367232,buy,35.064,-30.37251394882484,-0.4717693996400255,Industrials,Building Products & Equipment
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPD,,28.83,,None,,,None,,Not Found!,,,,,,,,,28.02,23.4,,,,,,,,,,,,
AAPU,,18.83,,None,,,None,,Not Found!,,,,,,,,,17.9882,17.9882,,,,,,,,,,,,
AAPL,Apple Inc.,138.65,90.42800000000001,6.11,8.89,0.6522033898305085,43.54311,24.448837975786653,6.56,2293495496704,90215251968,48304001024,-2153058889728,3.036,132480000000,1.074473031618103,1.041382517048977,134.38,129.04,0.0068,5.6710261705408875,15908100096,USD,United States,2201362890752,buy,17.569,83.93118732400515,0.6053457434115048,Technology,Consumer Electronics
AATC,Autoscope Technologies Corporat,4.22,2.425531914893617,0.1,20.00,0.5747705959463548,1.2455653,-11.543161899936669,6.06,22727130,-1973750,2605000,-20595112,0.483,1712000,1.0082186544342506,1.0,4.1856,4.1856,0.001,-0.36558440716517654,5398890,USD,United States,23200112,none,17.632,-8.867366471665985,-2.1012716757502337,Technology,Scientific & Technical Instruments
AAWW,Atlas Air Worldwide Holdings,100.25,230.1872340425532,14.62,10.00,2.2961320103995333,0.99301016,11.233883758442689,2.05,4519484928,253291376,606566976,-2244271808,21.417,2269519104,1.7078364565587734,1.705792163543441,100.13,58.7,0.1689,8.923895079887963,28383500,USD,United States,2850838784,hold,4.442,140.50387998121474,1.401534962406132,Industrials,Airports & Air Services
AAXJ,,56.71,,None,,,None,,Not Found!,,,,,,,,,58.31,54.39,,,,,,,,,,,,
ABCB,Ameris Bancorp,50.06,74.1868085106383,5.283,8.00,1.4819578208277726,1.3033952,undefined,"Bancorp)  Altman Z-Score as of today (November 04, 2022) is ",1516408832,None,2306835968,-1296785664,33.367,553870016,1.3097854526425956,1.3257456828885401,50.67,38.22,0.0402,undefined,69635200,USD,United States,3603621632,buy,None,undefined,undefined,Financial Services,Banks—Regional
ABCM,Abcam plc,14.76,undefined,0.097,N/A,undefined,5.2173915,163.3028563141994,27.97,3304900096,20687500,219900000,-3179566752,0.962,110500000,1.1770334928229667,1.1291866028708135,14.16,12.54,None,0.09038421208996697,228884000,USD,United Kingdom,3399466752,buy,48.889,undefined,undefined,Healthcare,Biotechnology
ABCL,AbCellera Biologics Inc.,12.11,10.139574468085108,0.644,10.00,0.8372893862993483,3.5122383,31.211747273459522,7.33,2110966528,109252000,786052992,-2567576704,2.763,40276000,2.234317343173432,2.158671586715867,11.7,5.42,0.1269,0.38799493965842696,281580992,USD,Canada,3353629696,buy,7.37,6.108856496749702,0.5044472747109581,Healthcare,Biotechnology
ABGI,ABG Acquisition Corp. I,9.97,undefined,-0.099,,undefined,None,undefined,N/A,189767232,None,271738,-192667606,0.014,0,1.0278350515463919,1.0278350515463919,9.97,9.7,0.0023,undefined,15566300,USD,United States,192939344,none,None,undefined,undefined,Financial Services,Shell Companies
ABEO,Abeona Therapeutics Inc.,3.87,undefined,38.68,N/A,undefined,1.1192285,-0.3706260756024082,-26.36,17595872,-62132624,20096000,-541450944,3.377,8535000,14.333333333333332,13.755925925925926,3.7141,0.27,0.1033,-10.441790944443884,5950380,USD,United States,561546944,buy,-0.354,undefined,undefined,Healthcare,Biotechnology
ABMD,"ABIOMED, Inc.",373.63,120.87234042553193,4.94,20.25,0.323508124148307,12.733308,84.81824665627354,67.44,12602078208,200419504,758606976,-16257002368,16.649,9996000,1.699476916079145,1.6977484648624062,373.25,219.85,0.05,4.4050663003461725,45497500,USD,United States,17015609344,buy,44.384,107.78353713612978,0.2884766671202253,Healthcare,Medical Devices
