TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACI,Armada Acquisition Corp. I,10.9,undefined,-0.02,,undefined,N/A,80.5131826354291,N/A,90417480,1092915,60284,-87853052,0.007,2564439,1.2733644859813085,1.272196261682243,10.89,8.56,0.0002,0.13538155669930693,8072850,USD,United States,87913336,none,N/A,undefined,undefined,Financial Services,Shell Companies,71.81
AADI,"Aadi Bioscience, Inc.",1.68,undefined,-2.32,N/A,undefined,0.33824447,-1.0519889475002175,-1.77,-77988848,-39167248,119335000,79357784,4.866,1369000,1.0838709677419354,1.0129032258064516,1.57,1.55,0.051,-1.59697495300886,24525900,USD,United States,39977216,buy,1.122,undefined,undefined,Healthcare,Biotechnology,25.89
AACIW,Armada Acquisition Corp. I Warrant,0.02,undefined,N/A,,undefined,4.0,undefined,N/A,N/A,1092915,60284,N/A,0.007,2564439,1.0,1.0,0.02,0.02,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A
AACG,ATA Creativity Global,1.09,-5.381744421906694,-0.18,25.00,-4.937380203584122,0.32950422,undefined,-1.31,32365924,N/A,65506332,31278804,1.043,29782740,1.379746835443038,1.3291139240506329,1.05,0.79,0.0016,undefined,31401400,CNY,China,34227528,buy,-1.38,undefined,undefined,Consumer Defensive,Education & Training Services,56.42
AACIU,Armada Acquisition Corp. I,10.7,undefined,-0.203,,undefined,N/A,undefined,N/A,88883640,1092915,60284,N/A,0.007,2564439,1.1019567456230688,1.1019567456230688,10.7,9.71,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,4.93
AADR,AdvisorShares Dorsey Wright,54.44,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.221175414984298,1.2085666218034994,53.8779,44.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
AAGRW,None,0.018,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,1.0,1.0,0.018,0.018,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A
AAL,"American Airlines Group, Inc.",13.82,196.11380121703857,2.39,83.44,14.19057895926473,N/A,3.3044677035856767,0.79,39550365696,2733250048,10581999616,1654629376,16.192,41204998144,1.27255985267035,1.2348066298342542,13.41,10.86,0.1018,4.182216695597879,653540992,USD,United States,8927370240,hold,5.54,343.1759053083943,24.831831064283236,Industrials,Airlines,50.25
AAGR,African Agriculture Holdings In,0.8375,undefined,N/A,,undefined,N/A,-5.579457933060244,-11.75,45606536,-8686049,34497,-48862951,0.001,12566293,1.8366228070175439,1.7765350877192982,0.8101,0.456,N/A,-0.15010418754795496,57866800,USD,United States,48897448,none,-0.931,undefined,undefined,Consumer Defensive,Farm Products,17.54
AAME,Atlantic American Corporation,2.65,undefined,0.14,N/A,undefined,0.5437255,2.283377475343908,,69560016,23678124,23921000,-29737052,1.172,39768000,1.778523489932886,1.697986577181208,2.53,1.49,0.0043,1.1605615053204785,20402300,USD,United States,53658052,none,9.037,undefined,undefined,Financial Services,Insurance - Life,62.46
AAOI,"Applied Optoelectronics, Inc.",16.62,-40.29614604462475,-2.1,13.00,-2.424557523743968,3.0374641,212.6035507154616,0.93,671598272,2961375,21940000,-576974432,0.617,131705000,10.3875,9.3875,15.02,1.6,0.2223,0.07817367087270999,37882000,USD,United States,598914432,buy,-19.651,1.5000465039672142,0.09025550565386366,Technology,Communication Equipment,39.56
AAON,"AAON, Inc.",70.35,37.50709939148073,2.05,12.00,0.5331499558135143,8.369435,344.7688764386536,16.21,5750279168,16578000,2859000,-5710282248,0.035,40000000,1.4547146401985112,1.4392059553349874,69.6,48.36,0.0374,0.20404974116774055,81244896,USD,United States,5713141248,buy,21.95,3.7333238647728604,0.053067858774312165,Industrials,Building Products & Equipment,49.80
AAPB,GraniteShares 1.75x Long AAPL D,21.98,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2773871098971348,1.2785494275585516,22.0,17.207,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
AAPL,Apple Inc.,188.63,80.09535091277891,6.13,6.14,0.424616184661925,47.925945,35.49012330365884,8.30,3041660239872,82179997696,61554999296,-2900326694912,3.958,123930001408,1.3678752719361855,1.3692530819434372,188.82,137.9,0.0069999998,5.314999849001743,15461900288,USD,United States,2961881694208,buy,24.175,69.44645644488769,0.3681623095206896,Technology,Consumer Electronics,56.97
AAPD,Direxion Daily AAPL Bear 1X Sha,20.6134,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.049027989821883,1.0310432569974557,20.26,19.65,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
AAPU,Direxion Daily AAPL Bull 1.5X S,26.42,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4532453245324533,1.4554455445544554,26.46,18.18,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
