TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACIW,Armada Acquisition Corp. I Warrant,0.025,undefined,N/A,,undefined,6.0,undefined,N/A,N/A,1127652,54405,N/A,0.007,2776600,0.8333333333333334,1.0,0.03,0.03,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AACIU,Armada Acquisition Corp. I,10.9,undefined,-0.203,,undefined,N/A,undefined,N/A,90716248,1127652,54405,N/A,0.007,2776600,1.228861330326945,1.1048478015783543,9.8,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,57.97,0.0
AACI,Armada Acquisition Corp. I,11.0,undefined,-0.09,,undefined,N/A,78.74889593598026,N/A,91442808,1127652,54405,-88666211,0.007,2776600,1.0967098703888336,1.0957128614157527,10.99,10.03,0.00059999997,0.13968449803972574,8072850,USD,United States,88720616,none,N/A,undefined,undefined,Financial Services,Shell Companies,57.34,0.68711996
AACG,ATA Creativity Global,1.25,-5.202352941176471,-0.18,25.00,-4.161882352941177,0.4050786,undefined,-1.21,48065924,N/A,65506332,23428456,1.043,29782740,1.5822784810126582,1.6962025316455696,1.34,0.79,0.0019,undefined,31401400,CNY,China,42077876,buy,-2.05,undefined,undefined,Consumer Defensive,Education & Training Services,62.84,0.0
AADI,"Aadi Bioscience, Inc.",1.87,undefined,-2.36,N/A,undefined,0.39219758,-1.1709638879913138,-1.59,-71612128,-39167248,119335000,72981048,4.866,1369000,1.206451612903226,1.2,1.86,1.55,0.0706,-1.59697495300886,24525900,USD,United States,46353952,buy,1.03,undefined,undefined,Healthcare,Biotechnology,48.10,0.12465
AAGR,African Agriculture Holdings In,0.8,undefined,N/A,,undefined,N/A,-5.329631458445607,-12.84,43845160,-8686049,34497,-46258943,0.001,12566293,1.7543859649122808,1.6228070175438596,0.74,0.456,N/A,-0.15010418754795496,57866800,USD,United States,46293440,none,-0.895,undefined,undefined,Consumer Defensive,Farm Products,25.76,0.53927
AADR,AdvisorShares Dorsey Wright,57.42,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2880215343203232,1.3019268730372366,58.0399,44.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAGRW,None,0.015,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,1.0,1.0,0.015,0.015,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AAL,"American Airlines Group, Inc.",14.79,61.67549019607844,1.25,48.69,4.170080473027617,N/A,6.458056488844409,0.76,43056123904,1499500032,7577999872,-2400496128,11.582,40662999040,1.361878453038674,1.3710865561694292,14.89,10.86,0.0708,2.290162686800296,654756992,USD,United States,9978496000,buy,6.87,112.99752506974107,7.640130160225901,Industrials,Airlines,60.57,0.013049999
AAOI,"Applied Optoelectronics, Inc.",19.19,-41.364313725490206,-2.23,13.00,-2.1555140034127254,3.9097023,245.47906968891144,1.46,832934336,2961375,21940000,-748958688,0.617,131705000,11.99375,12.03125,19.25,1.6,0.2155,0.07817367087270999,37882000,USD,United States,770898688,buy,-24.371,1.4500449538349738,0.07556253016336496,Technology,Communication Equipment,54.18,0.045100003
AAME,Atlantic American Corporation,2.56,undefined,0.14,N/A,undefined,0.55819726,2.205828806369964,,70988176,23678124,23921000,-31165212,1.172,39768000,1.7181208053691275,1.6471812080536912,2.4543,1.49,0.0029,1.1605615053204785,20402300,USD,United States,55086212,none,9.223,undefined,undefined,Financial Services,Insurance - Life,54.65,0.79867
AAON,"AAON, Inc.",81.91,36.25686274509804,2.05,12.00,0.44264269008787743,9.836944,401.4217294824466,18.50,6752028672,16578000,2859000,-6712031752,0.035,40000000,1.5679555895865236,1.5708269525267993,82.06,52.24,0.0327,0.20404974116774055,81244896,USD,United States,6714890752,buy,25.774,3.6088797359470983,0.04405908602059698,Industrials,Building Products & Equipment,64.89,0.17512
AAPB,GraniteShares 2x Long AAPL Dail,20.24,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.115766262403528,1.1174200661521498,20.27,18.14,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAPD,Direxion Daily AAPL Bear 1X Sha,21.4,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.089058524173028,1.0743104325699746,21.1102,19.65,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAPL,Apple Inc.,182.32,104.85950588235296,6.51,10.17,0.5751398962393208,38.46651,32.52386100676951,8.40,2881959493632,86563127296,73100001280,-2773923037184,4.734,108040003584,1.2669909659485754,1.2680333564975677,182.47,143.9,0.0064,5.605730511578928,15441899520,USD,United States,2847023038464,buy,22.15,90.29402942454624,0.49525027108680475,Technology,Consumer Electronics,44.07,0.059369996
AAPU,Direxion Daily AAPL Bull 1.5X S,25.01,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3012486992715921,1.3028095733610823,25.04,19.22,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAXJ,iShares MSCI All Country Asia e,66.15,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0858502954694682,1.0935653315824032,66.62,60.92,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
