TICKER SYMBOL,NAME,SHARES HELD,PAID PRICE,LIST PRICE,INTRINSIC VALUE,PAID VALUE,MARKET VALUE,INTRINSIC VALUE POSITION,PERCENT OWNERSHIP,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
SAH,"Sonic Automotive, Inc.",48,53.03,51.81,205.6197424892704,2545.44,2486.88,9869.74763948498,1.95532091704551e-06,9.15,15.30,3.9687269347475467,1.7193179,5.964852199720993,3.94,4828642816,213224496,171000000,-1732142912,4.675,3096499968,1.5162423178226514,1.478197249048873,50.51,34.17,0.38549998,8.685881605318473,24548400,USD,United States,hold,6.616,195.19002611780053,3.767419921208271,Consumer Cyclical,Auto & Truck Dealerships
HMPT,Home Point Capital Inc.,69,199.5,1.52,3.6682403433476396,13765.5,104.88,253.10858369098713,4.985584867775931e-07,0.37,2.00,2.413316015360289,0.31608576,0.032704082899703474,,2120240896,6432422912,134015000,-68047560,0.968,2035586048,1.1176470588235294,1.0735294117647058,1.46,1.36,0.0232,46.477377294496215,138399008,USD,United States,hold,42.493,460.7842984990826,303.147564802028,Financial Services,Mortgage Finance
LPG,Dorian LPG Ltd.,9,167.14,19.86,55.91587982832619,1504.2599999999998,178.74,503.2429184549357,2.2304556325200432e-07,2.52,15.00,2.8155025089791637,1.0012705,7.810583492093245,1.51,1331692672,102599368,141286752,-685495008,3.501,646196928,1.8440111420612812,1.8226555246053853,19.63,10.77,0.0709,2.542703758317741,40350500,USD,United States,buy,7.685,56.419649916320694,2.8408685758469634,Energy,Oil & Gas Midstream
BXC,Bluelinx Holdings Inc.,18,87.22,70.42,1127.0090128755364,1569.96,1267.56,20286.162231759656,1.992148720542484e-06,35.63,25.00,16.004104130581318,1.1302109,3.5137696720535088,5.49,996151232,181081248,229364000,-400950432,25.385,615350016,1.224695652173913,1.204,69.23,57.5,0.0533,20.04115425096868,9035470,USD,United States,buy,1.938,633.9197718010266,9.001984831028494,Industrials,Building Products & Equipment
GEO,Geo Group Inc (The) REIT,128,7.78,12.15,11.538197424892704,995.84,1555.2,1476.8892703862662,1.031010873942811e-06,0.52,15.00,0.9496458785919921,1.2382191,8.797370602896674,1.29,3248727040,171462880,91645000,-1327389496,0.76,2108448000,2.3320537428023034,2.1833013435700575,11.375,5.21,0.3305,1.38109448248087,124150000,USD,United States,buy,6.665,30.64488615633519,2.5222128523732668,Real Estate,REIT—Healthcare Facilities
F,Ford Motor Company,74,21.62,14.08,47.15931330472103,1599.88,1041.92,3489.7891845493564,1.8735885093096243e-08,2.26,13.60,3.3493830472103006,1.3227715,8.271589215956253,1.23,153476055040,6723125248,31977000960,-23746990080,7.954,129764999168,1.3270499528746467,1.295947219604147,13.75,10.61,0.0374,1.702212190716516,3949639936,USD,United States,hold,9.2,35.51998142173262,2.5227259532480555,Consumer Cyclical,Auto Manufacturers
TSQ,"Townsquare Media, Inc.",17,57.81,7.39,10.839484978540774,982.77,125.63,184.27124463519317,1.3112933208889026e-06,0.56,12.00,1.4667773989906325,2.0691626,2.8481003563047045,0.58,678879936,33638624,27046000,-97778840,1.571,578201024,1.0379213483146066,1.0093960674157303,7.1869,7.12,0.0039,2.5947119397113614,12964300,USD,United States,strong_buy,6.132,50.22382338239588,6.796187196535302,Communication Services,Advertising Agencies
AAL,"American Airlines Group, Inc.",8,1.14,13.98,334.83301287553644,9.12,111.84,2678.6641030042915,1.2309567300983594e-08,-3.671,-105.10,23.950859290095597,None,34.2207753979661,0.47,42529116160,265500000,11232000000,2152883200,17.283,44681998336,1.2,1.1736995708154507,13.6736,11.65,0.1585,0.408523764801393,649900992,USD,United States,hold,17.72,-37.26157531999658,-2.6653487353359497,Industrials,Airlines
X,United States Steel Corporation,17,57.81,26.52,188.97811158798285,982.77,450.84,3212.6278969957084,7.25661550633214e-08,12.13,8.00,7.125871477676578,0.60694486,3.387344634716118,2.89,7148632064,1834125056,3364000000,-2970633984,14.36,4084999936,1.6160877513711152,1.5880560633759901,26.06,16.41,0.1031,7.829141365836414,234268992,USD,United States,hold,1.34,121.97331827461883,4.599295560883063,Basic Materials,Steel
HA,"Hawaiian Holdings, Inc.",8,1.20,13.89,424.07766523605153,9.6,111.12,3392.6213218884122,1.556078138463723e-07,-4.039,-119.70,30.531149405043305,2.0372837,-2.5749307775221713,0.70,1448880128,-277328992,1427838976,719905344,27.773,2168784896,1.0885579937304075,1.0553134796238244,13.4658,12.76,0.09819999,-5.394319770167259,51411300,USD,United States,hold,-3.301,566.3804242805658,40.7761284579241,Industrials,Airlines
UAL,"United Airlines Holdings, Inc.",10,0.86,43.89,697.2336309012876,8.6,438.9,6972.336309012876,3.058777467821661e-08,-6.123,-129.10,15.885933718416213,2.9295154,5.659187433999606,0.78,34029862912,2535500032,18695000064,4346130432,57.184,38376001536,1.4371316306483302,1.4115913555992141,43.11,30.54,0.0627,7.7555303675427005,326928000,USD,United States,buy,11.016,-883.1318957581242,-20.121483156940627,Industrials,Airlines
STARTING BALANCE,31081.46
