TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACI,Armada Acquisition Corp. I,11.5,undefined,-0.14,--,undefined,N/A,158.47080489549697,N/A,84488984,517210,107722,-81855678,0.015,2776600,1.1275615256397686,1.1275713305226003,11.5001,10.199,0.0047999998,0.07256857190561779,7127190,USD,United States,81963400,none,N/A,undefined,undefined,Financial Services,Shell Companies,51.29,0.77829003
AACG,ATA Creativity Global,0.85,-4.326810176125244,-0.15,25.00,-5.090364913088523,0.23225717,1.2042161733315702,-1.40,16488364,22552014,60167232,33504956,0.956,22606872,1.0897435897435896,1.0698717948717948,0.8345,0.78,0.0017,0.7058533333333333,31950000,CNY,China,26662276,buy,-0.845,20.36062257012394,23.953673611910517,Consumer Defensive,Education & Training Services,43.89,0.07085
AACIW,Armada Acquisition Corp. I Warrant,0.111,undefined,N/A,--,undefined,24.0,undefined,N/A,N/A,517210,107722,N/A,0.015,2776600,0.925,1.0,0.12,0.12,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AACIU,Armada Acquisition Corp. I,11.43,undefined,-0.203,--,undefined,N/A,undefined,N/A,84132624,517210,107722,N/A,0.015,2776600,1.2886133032694476,1.2886133032694476,11.43,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,62.45,0.0
AADI,"Aadi Bioscience, Inc.",1.74,undefined,-2.55,--,undefined,0.46688384,-1.2008335507844599,-3.32,-44383684,-35578876,88271000,46037776,3.595,1163000,1.1225806451612903,1.1058064516129031,1.714,1.55,0.0581,-1.4489934919484242,24554200,USD,United States,42233224,buy,0.596,undefined,undefined,Healthcare,Biotechnology,42.41,0.10813
AADR,AdvisorShares Dorsey Wright,63.3,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3651067500539142,1.3663122708647832,63.3559,46.37,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAGR,African Agriculture Holdings In,0.345,undefined,N/A,--,undefined,N/A,0.8440703308017482,-15.34,31596272,23652112,67183,-20649131,0.001,11699398,1.1896551724137931,1.1913793103448276,0.3455,0.29,0.0174,0.40873371259513225,57866800,USD,United States,20716314,none,-0.72,undefined,undefined,Consumer Defensive,Farm Products,41.22,0.58019
AAGRW,N/A,0.0169,undefined,N/A,--,undefined,N/A,undefined,N/A,N/A,23652112,67183,N/A,0.001,11699398,1.0,1.0,0.0169,0.0169,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AAL,"American Airlines Group, Inc.",11.5,33.31859099804305,0.71,46.00,2.897268782438526,N/A,21.457618166117157,0.67,38509039616,351624992,9095999488,1534562816,13.864,40059998208,1.0589318600368325,1.0469613259668509,11.37,10.86,0.0923,0.535940192008784,656089984,USD,United States,7564717568,buy,6.499,25.150383178807513,2.186989841635436,Industrials,Airlines,27.14,0.01254
AAME,Atlantic American Corporation,1.8,undefined,-0.05,--,undefined,0.3633115,1.8965898030646962,,55519568,19360876,21189000,-16142636,1.039,40342000,1.2080536912751678,1.2281879194630874,1.83,1.49,0.00029999999,0.949071853645624,20399800,USD,United States,37331636,none,20.578,undefined,undefined,Financial Services,Insurance - Life,48.41,0.80286
