TICKER SYMBOL,NAME,SHARES HELD,PAID PRICE,LIST PRICE,INTRINSIC VALUE,PAID VALUE,MARKET VALUE,INTRINSIC VALUE POSITION,PERCENT OWNERSHIP,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
SAH,"Sonic Automotive, Inc.",48,53.03,47.25,181.06557504873294,2545.44,2268.0,8691.14760233918,1.7623474467991364e-06,8.87,15.30,3.8320756624070462,1.5526073,6.035516200727706,3.94,4653800960,213224496,171000000,-1673903680,4.675,3096499968,1.382791922739245,1.3567456833479659,46.36,34.17,0.32639998,7.828659294179848,27236400,USD,United States,hold,6.377,159.80842130341398,3.382188810654264,Consumer Cyclical,Auto & Truck Dealerships
CIVI,"Civitas Resources, Inc.",69,199.5,69.91,247.71656920077973,13765.5,4823.79,17092.443274853802,8.114592153542196e-07,12.29,15.00,3.5433638850061473,1.1946043,4.8310736500699765,2.38,5929869312,1230489856,439251008,-5524893632,5.166,424536000,1.582748471813448,1.5510527507357936,68.51,44.17,0.104399994,14.47090337755198,85032000,USD,United States,buy,3.45,291.67473864305555,4.1721461685460675,Energy,Oil & Gas E&P
RRR,"Red Rock Resorts, Inc.",18,87.22,41.1,526.8412475633528,1569.96,739.8000000000001,9483.142456140351,3.079818632902729e-07,3.59,162.60,12.818521838524399,176.32912,undefined,1.61,4932669440,None,256268000,-2186148640,4.419,2846849024,1.3266195410090056,1.31661340821794,40.79,30.981,0.057800002,undefined,58445000,USD,United States,buy,6.885,undefined,undefined,Consumer Cyclical,Resorts & Casinos
LPG,Dorian LPG Ltd.,9,167.14,17.57,45.55243664717349,1504.2599999999998,158.13,409.97192982456136,2.242342400701604e-07,2.26,15.00,2.5926258763331522,0.86609304,5.422972283784761,1.39,1213126400,130039400,155518160,-575770672,3.875,663444480,1.6313834726090994,1.6216341689879294,17.465,10.77,0.0845,3.2399206709088464,40136600,USD,United States,buy,7.473,65.3036642050633,3.716770871090683,Energy,Oil & Gas Midstream
F,Ford Motor Company,74,21.62,13.26,54.78042884990254,1599.88,981.24,4053.751734892788,1.8737070408603446e-08,2.89,13.60,4.131254061078623,1.2841191,7.812611658487779,1.24,151063756800,6703124992,31977000960,-22118690816,7.954,129764999168,1.2497643732327992,1.2384542884071632,13.14,10.61,0.0353,1.6972557423347758,3949390080,USD,United States,hold,9.072,32.171763817667376,2.4262265322524414,Consumer Cyclical,Auto Manufacturers
GEO,Geo Group Inc (The) REIT,128,7.78,8.49,10.682651072124758,995.84,1086.72,1367.379337231969,1.0315093883471674e-06,0.53,15.00,1.2582627882361317,0.9223301,undefined,1.07,3045400576,None,91645000,-957535928,0.756,2108448000,1.6295585412667948,1.5930902111324379,8.3,5.21,0.3108,undefined,124090000,USD,United States,buy,6.207,undefined,undefined,Real Estate,REIT—Healthcare Facilities
TSQ,"Townsquare Media, Inc.",17,57.81,7.5,17.93450292397661,982.77,127.5,304.88654970760234,1.3202140299921564e-06,1.02,12.00,2.3912670565302148,2.2563179,2.8413677954632384,0.58,684400960,33989000,22825000,-105824752,1.333,576220032,1.050420168067227,1.0266106442577032,7.33,7.14,0.0043,2.639573803847259,12876700,USD,United States,strong_buy,6.477,46.4112197089713,6.18816262786284,Communication Services,Advertising Agencies
X,United States Steel Corporation,17,57.81,20.51,244.97192982456139,982.77,348.67,4164.5228070175435,7.166131775349963e-08,17.31,8.00,11.944023882231173,0.45756552,2.6527776381241477,2.80,5618855936,1834125056,3364000000,-1471872768,14.36,4084999936,1.2498476538695917,1.2266910420475319,20.13,16.41,0.1025,7.731518731627724,237227008,USD,United States,hold,1.053,109.41681479847423,5.334803256873439,Basic Materials,Steel
AAL,"American Airlines Group, Inc.",8,1.14,14,304.1563040935672,9.12,112.0,2433.2504327485376,1.2309567300983594e-08,-3.671,-105.10,21.725450292397657,None,34.26973215819209,0.47,42548613120,265500000,11232000000,2006656000,17.283,44681998336,1.2017167381974247,1.1918454935622318,13.885,11.65,0.1496,0.408523764801393,649900992,USD,United States,hold,17.729,-33.84774678190723,-2.4176961987076595,Industrials,Airlines
HA,"Hawaiian Holdings, Inc.",8,1.20,14.3,385.2245458089669,9.6,114.4,3081.7963664717354,1.556078138463723e-07,-4.039,-119.70,26.938779427200483,2.1438084,-2.6664281256310804,0.72,1476128128,-275717760,1427838976,682889280,27.773,2168784896,1.120689655172414,1.1050156739811912,14.1,12.76,0.123900004,-5.362979734027344,51411300,USD,United States,hold,-3.383,511.50072597756315,35.76928153689253,Industrials,Airlines
UAL,"United Airlines Holdings, Inc.",10,0.86,43.72,633.3545263157895,8.6,437.2,6333.545263157895,3.058777467821661e-08,-6.123,-129.10,14.486608561660328,2.8994792,5.637267592036062,0.78,33974284288,2535500032,18695000064,4493248512,57.184,38376001536,1.4315651604453177,1.418467583497053,43.32,30.54,0.0529,7.7555303675427005,326928000,USD,United States,buy,10.998,-802.2211762637153,-18.34906624573914,Industrials,Airlines
STARTING BALANCE,31081.46
