TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACI,Armada Acquisition Corp. I,10.9,undefined,-0.02,,undefined,N/A,80.51318264,N/A,90417480,1092915,60284,-87853052,0.007,2564439,1.273364486,1.272196262,10.89,8.56,0.0002,0.135381557,8072850,USD,United States,87913336,none,N/A,undefined,undefined,Financial Services,Shell Companies,71.81
AADI,"Aadi Bioscience, Inc.",1.68,undefined,-2.32,N/A,undefined,0.33824447,-1.051988948,-1.77,-77988848,-39167248,119335000,79357784,4.866,1369000,1.083870968,1.012903226,1.57,1.55,0.051,-1.596974953,24525900,USD,United States,39977216,buy,1.122,undefined,undefined,Healthcare,Biotechnology,25.89
AACIW,Armada Acquisition Corp. I Warrant,0.02,undefined,N/A,,undefined,4,undefined,N/A,N/A,1092915,60284,N/A,0.007,2564439,1,1,0.02,0.02,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A
AACG,ATA Creativity Global,1.09,-5.381744422,-0.18,25,-4.937380204,0.32950422,undefined,-1.31,32365924,N/A,65506332,31278804,1.043,29782740,1.379746835,1.329113924,1.05,0.79,0.0016,undefined,31401400,CNY,China,34227528,buy,-1.38,undefined,undefined,Consumer Defensive,Education & Training Services,56.42
AACIU,Armada Acquisition Corp. I,10.7,undefined,-0.203,,undefined,N/A,undefined,N/A,88883640,1092915,60284,N/A,0.007,2564439,1.101956746,1.101956746,10.7,9.71,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,4.93
AADR,AdvisorShares Dorsey Wright,54.44,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.221175415,1.208566622,53.8779,44.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A
AAGRW,None,0.018,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,1,1,0.018,0.018,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A
AGFY,Agrify Corporation,1.37,2223.878702,87.43,20,1623.269125,N/A,-2.548604483,-14.42,24235318,-914500,158000,-1645314,0.093,22357000,1.343137255,1,1.02,1.02,0.0109,-0.537549082,1701240,USD,United States,1803314,buy,-0.325,-13.67315514,-9.980405215,Industrials,Engineering & Construction,39.04
AAGR,African Agriculture Holdings In,0.8375,undefined,N/A,,undefined,N/A,-5.579457933,-11.75,45606536,-8686049,34497,-48862951,0.001,12566293,1.836622807,1.776535088,0.8101,0.456,N/A,-0.150104188,57866800,USD,United States,48897448,none,-0.931,undefined,undefined,Consumer Defensive,Farm Products,17.54
AAME,Atlantic American Corporation,2.65,undefined,0.14,N/A,undefined,0.5437255,2.283377475,,69560016,23678124,23921000,-29737052,1.172,39768000,1.77852349,1.697986577,2.53,1.49,0.0043,1.160561505,20402300,USD,United States,53658052,none,9.037,undefined,undefined,Financial Services,Insurance - Life,62.46
