TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACIU,,11.5,,-0.203,,,{},,N/A,,1362990,40464,,,2201754,,,11.5,9.71,,,,,,{},,,,,,,90.88
AADR,,47.82,,{},,,{},,Not Found!,,,,,,,,,47.64,43.84,,,,,,,,,,,,,Not Found!
AACG,ATA Creativity Global,1.1,-5.302158273381296,-0.2,25.00,-4.820143884892087,0.31464532,undefined,-1.35,11479979,{},56848920,22104428,1.81,33371946,1.0,1.0,1.1,1.1,{},undefined,31585900,CNY,China,34744492,buy,-0.362,undefined,undefined,Consumer Defensive,Education & Training Services,40.94
AACI,Armada Acquisition Corp. I,10.7,undefined,-0.46,,undefined,{},63.37500275130411,N/A,89025144,1362990,40464,-85531752,0.005,2201754,1.2499999999999998,1.2383177570093458,10.6,8.56,0.00029999999,0.1688362845835114,8072850,USD,United States,85572216,none,{},undefined,undefined,Financial Services,Shell Companies,55.59
AADI,"Aadi Bioscience, Inc.",4.37,undefined,-2.55,N/A,undefined,0.83582085,-2.9160072229658835,0.99,-23571028,-36746124,134888992,25039840,5.501,1469000,1.1063291139240505,1.091139240506329,4.31,3.95,0.041100003,-1.4986245457771035,24519900,USD,United States,109849152,buy,0.353,undefined,undefined,Healthcare,Biotechnology,25.42
AAL,"American Airlines Group, Inc.",12.85,280.05841726618706,3.85,83.42,21.794429359236346,{},6.962331820703292,0.87,38858903552,1205874944,12060999680,3724100608,18.46,42582999040,1.0899067005937235,1.0746395250212044,12.67,11.79,0.1428,1.8456460178742202,653361984,USD,United States,8336899072,hold,5.2,134.2568058699987,10.448000456809236,Industrials,Airlines,21.47
AAME,Atlantic American Corporation,1.83,undefined,0.01,N/A,undefined,0.35700196,1.6465258701476249,,52899140,22675750,24247000,-12681160,1.188,39959000,1.095808383233533,1.0838323353293413,1.81,1.67,0.0146,1.1114310641447287,20402300,USD,United States,36928160,none,12.197,undefined,undefined,Financial Services,Insurance - Life,45.96
AAPB,,23.73,,{},,,{},,Not Found!,,,,,,,,,23.3301,14.25,,,,,,,,,,,,,Not Found!
AAOI,"Applied Optoelectronics, Inc.",9.12,-40.66438848920865,-2.39,13.00,-4.45881452732551,1.7679127,16.160153258171015,-0.13,402236928,18816876,21578000,-281171888,0.672,132085000,5.699999999999999,5.481249999999999,8.77,1.6,0.2147,0.5643510834520507,33342500,USD,United States,302749888,buy,-9.99,9.602088578158993,1.052860589710416,Technology,Communication Equipment,46.05
