TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
MULN,"Mullen Automotive, Inc.",0.0906,undefined,-319.08,N/A,undefined,0.028399998,-0.536690788,-10.23,-92580576,-69736016,214012128,178816180,1.162,13232782,1.087635054,1,0.0833,0.0833,0.12060001,-0.168812288,413097984,USD,United States,35195948,none,0.428,undefined,undefined,Consumer Cyclical,Auto Manufacturers
LIDR,"AEye, Inc.",0.0704,undefined,-0.49,N/A,undefined,0.22552446,-0.469076953,-7.81,-17162724,-28236876,45892000,33756777,0.244,15484000,1.252669039,1,0.0562,0.0562,0.0322,-0.150081984,188143008,USD,United States,12135223,hold,0.214,undefined,undefined,Technology,Software - Infrastructure
BLUE,"bluebird bio, Inc.",2.43,-32.36980645,-0.63,45.8,-13.320908,0.63973063,-2.279818418,-9.44,395100992,-116616248,174292992,28779024,1.594,303707008,1.928571429,1,1.26,1.26,0.2251,-1.065874361,109409000,USD,United States,145513968,hold,-2.998,-54.76531235,-22.53716557,Healthcare,Biotechnology
BETS,Bit Brother Limited,0.0066,undefined,-0.68,,undefined,0.002425763,-0.319346196,-14.74,-3539502,-4347971,5368284,4142976,0.025,998755,1.2,1,0.0055,0.0055,0.0016,-0.020667226,210380000,USD,China,1225308,none,0.093,undefined,undefined,Financial Services,Capital Markets
MNKD,,3.91,,-0.12,35.6,,,,-12.17,,,,,,,,,3.3001,3.3001,,,,,,,,,,,,
NCL,,1.8,,-0.13,,,,,0.85,,,,,,,,,1.32,1.32,,,,,,,,,,,,
GGE,Green Giant Inc.,0.051,undefined,-4.67,N/A,undefined,0.075953566,-0.078747899,-3.54,109046808,-55458912,105659,-3816323,0.002,106307008,1.159090909,1,0.044,0.044,0.0017,-0.647636326,85632800,USD,China,3921982,none,-0.902,undefined,undefined,Real Estate,Real Estate - Development
CNEY,CN Energy Group Inc.,0.0861,undefined,-0.04,,undefined,0.036288995,-0.243593446,1.18,12581222,-19958312,676349,-4088061,0.011,8135754,1.4045677,1,0.0613,0.0613,0.0036,-0.353457786,56465900,USD,China,4764410,none,-10.003,undefined,undefined,Basic Materials,Specialty Chemicals
VLCN,,0.0759,,-9.18,N/A,,,,-20.52,,,,,,,,,0.067,0.067,,,,,,,,,,,,
NVAX,,5.23,,-6.23,-69.6,,,,-4.5,,,,,,,,,5.02,5.02,,,,,,,,,,,,
