TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACI,Armada Acquisition Corp. I,9.93,undefined,-0.203,,undefined,None,undefined,N/A,205584960,None,439863,-205205481,0.021,483034,1.063169164882227,1.0620985010706638,9.92,9.34,0.0001,undefined,20709500,USD,United States,205645344,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,1.89,-4.630841889117042,-0.153,25.00,-2.450180893712721,0.3932584,undefined,-0.89,37935260,None,60516272,794920,1.927,36677972,2.1477272727272725,2.1477272727272725,1.89,0.88,None,undefined,31598600,USD,China,59721352,strong_buy,-0.844,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,10.035,,-0.203,,,None,,N/A,,None,439863,,,483034,,,9.95,9.82,,,,,,None,,,,,,
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AADR,,45.335,,None,,,None,,Not Found!,,,,,,,,,45.27,43.35,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",13.61,undefined,-8.813,N/A,undefined,2.555577,-6.099669809349231,4.18,169070096,-46894120,118737000,-159105112,5.65,1768000,1.2372727272727273,1.201818181818182,13.22,11,0.051,-2.231268318678391,21016800,USD,United States,277842112,buy,-2.948,undefined,undefined,Healthcare,Biotechnology
AAL,"American Airlines Group, Inc.",12.18,320.3946283367556,-3.671,-105.10,26.304977695956946,None,-10.399243958711054,0.36,40258121728,-761124992,12522000384,4678359040,19.269,44864999424,1.0454935622317596,1.027038626609442,11.965,11.65,0.139,-1.171238990868877,649846016,USD,United States,7843641344,hold,43.288,102.22246831189065,8.39264928669053,Industrials,Airlines
AAME,Atlantic American Corporation,2.75,undefined,0.13,N/A,undefined,0.5349794,1.5421546391752576,,79192864,36375000,15910000,-44020724,0.78,38748000,1.2971698113207546,1.3490566037735847,2.86,2.12,0.0047999998,1.7832193543642916,20398500,USD,United States,59930724,none,12.781,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",2.78,-51.92316221765915,-2.673,13.00,-18.677396481172355,0.23899882,13.484188614708037,-0.10,169445616,5627875,31980000,-40222152,1.157,153895008,1.8783783783783783,1.7635135135135134,2.61,1.48,0.1568,0.20616739200515796,27297600,USD,United States,72202152,buy,-5.306,4.004812173241878,1.4405799184323302,Technology,Semiconductors
AAON,"AAON, Inc.",53.14,27.59712525667351,1.49,12.00,0.519328664973156,7.954748,-58.11177806747667,8.15,3269662720,-47942500,5633000,-2796119320,0.106,82003000,1.1187368421052633,1.1141052631578947,52.92,47.5,0.0272,-0.9144445716029602,52428000,USD,United States,2801752320,buy,31.207,-16.93694052537721,-0.3187230057466543,Industrials,Building Products & Equipment
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,140.09,74.0013954825462,4.449,9.91,0.5282418122817203,33.707188,27.576735400073563,7.15,2683118026752,83344621568,48230998016,-2244563525632,3.001,119691001856,1.0856323620582766,1.073875542467452,138.5729,129.04,0.0064999997,5.080006678369417,16406400000,USD,United States,2292794523648,buy,20.71,84.49709670937088,0.6031629431748938,Technology,Consumer Electronics
