TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACI,,10.73,,-0.45,,,,,N/A,,,,,,,,,10.77,8.56,,,,,,,,,,,,,52.37
AACIU,,10.76,,-0.203,,,,,N/A,,,,,,,,,10.76,9.71,,,,,,,,,,,,,99.94
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AACG,,0.9282,,-0.18,25.00,,0.2795949,,-1.37,,,,,,,,,0.9159,0.8,,,,,,,,,,,,,46.44
AADI,"Aadi Bioscience, Inc.",4.75,undefined,-2.32,N/A,undefined,0.9794563,-2.974373512277401,0.34,-2203940,-39167248,119335000,3572760,4.866,1369000,1.2242268041237114,1.2010309278350517,4.66,3.88,0.0469,-1.59697495300886,24525900,USD,United States,115762240,buy,0.032,undefined,undefined,Healthcare,Biotechnology,54.33
AAL,,12.31,,2.39,83.42,,,,0.78,,,,,,,,,12.25,10.86,,,,,,,,,,,,,55.39
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAOI,"Applied Optoelectronics, Inc.",13.21,-38.64980544747082,-2.1,13.00,-2.9257990497706903,2.5052834,158.5204460765692,0.51,573161984,2961375,21940000,-441457248,0.617,131705000,8.25625,8.075,12.92,1.6,0.2339,0.08333309883331551,35536600,USD,United States,463397248,buy,-16.77,1.5337181224964296,0.11610281018141026,Technology,Communication Equipment,68.51
AAON,"AAON, Inc.",63.54,35.974708171206224,2.05,12.00,0.5661741921814011,7.5970006,311.39466110749186,15.00,5223000064,16578000,2859000,-5183002632,0.035,40000000,1.3555682076203115,1.3517280710548147,63.36,46.873333,0.046,0.20404974116774055,81244896,USD,United States,5185861632,buy,19.937,3.5807950687412844,0.0563549743270583,Industrials,Building Products & Equipment,68.05
AAME,Atlantic American Corporation,1.93,undefined,0.14,N/A,undefined,0.39797395,1.6629881235523558,,55176404,23678124,23921000,-15353428,1.172,39768000,1.2953020134228188,1.2822147651006712,1.9105,1.49,0.013300001,1.1605615053204785,20402300,USD,United States,39274428,none,7.169,undefined,undefined,Financial Services,Insurance - Life,56.93
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
